"code";"pairCode";"defaultCategory";"categoryText";"categoryText2";"categoryText3"
"KB_100002143863";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Fény a teplovzdušné kefy";"";"";""
"KB_100002104319";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy";"";"";""
"KB_100002202178";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy";"";"";""
"KB_100002196856";"";"Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy";"";"";""
"KB_100000612130";"";"Domáce spotrebiče > Vysávače > Tyčové vysávače";"";"";""
"KB_100001405121";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače";"";"";""
"KB_100001405119";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače";"";"";""
"BAS_BASYS-BD 717525";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá";"";"";""
"BAS_BASYS-BD 1001619";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá";"";"";""
"BAS_BASYS-BD 1000310";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 443530";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 442844";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 1002202";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá";"";"";""
"BAS_BASYS-BD 737704";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 472786";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 459046";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 483664";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 474746";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 1000302";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 490970";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 729906";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 459038";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 1001629";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá";"";"";""
"BAS_BASYS-BD 718971";"";"TV, audio, video a foto technika > Audio technika > Príslušenstvo k slúchadlám";"";"";""
"BAS_BASYS-BD 934780";"";"TV, audio, video a foto technika > Audio technika > Príslušenstvo k slúchadlám";"";"";""
"BAS_BASYS-BD 934798";"";"TV, audio, video a foto technika > Audio technika > Príslušenstvo k slúchadlám";"";"";""
"BAS_BASYS-BD 730181";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 718351";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 718211";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 730173";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 730092";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
