"code";"pairCode";"defaultCategory";"categoryText";"categoryText2";"categoryText3"
"ABL-30-B1-451";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-453";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-461";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-463";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-484";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-486";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"LP-MIE0403";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"SPR-FVEPV4BL500";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"ABL-30-B1-077";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-078";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"TIP-08840270";"";"Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice > Vidlice, zásuvky a redukcie";"Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice > Spínacie a časové zásuvky";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart zásuvky";"Elektro, Smart Home a osvetlenie > Elektromery a spínacia technika"
"NED-WIFIP121EWT";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart zásuvky";"Elektro, Smart Home a osvetlenie > Elektromery a spínacia technika";"";""
"ABL-30-B1-146";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-187";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"TIP-07730161";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"ATO-2631600600";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia";"Chovateľské potreby > Misky a dávkovače krmiva";"";""
"ATO-2631610200";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia";"Chovateľské potreby > Fontány a napájačky > Fontány pre psy a mačky";"";""
"LEV-82990";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"LEV-82967";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"ATO-WIFIP313EWT";"";"Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice > Predlžovacie prívody";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart zásuvky";"";""
"ATO-WIFIP141EWT";"";"Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice > Vidlice, zásuvky a redukcie";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart zásuvky";"";""
"ATO-WIFIPO130EWT";"";"Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice > Vidlice, zásuvky a redukcie";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart zásuvky";"";""
"TIP-06444294";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart termostaty a hlavice";"Elektro, Smart Home a osvetlenie > Elektromery a spínacia technika";"";""
"LEC-MIE0401";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"TIP-07720212";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-07720213";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-07720214";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-07720186";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"TIP-07720194";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"TIP-07720050";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-07720059";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-07720066";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"ABL-30-B3-035";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B3-054";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B3-056";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B3-057";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B3-083";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B3-085";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B3-086";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B3-087";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B3-120";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"TIP-07720179";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"ATO-RC-10";"";"Energia a napájanie > Nabíjačky batérií a akumulátorov";"Auto-moto > Karavany a obytné autá";"Auto-moto > Autobatérie, nabíjačky a štartovacie boxy > Nabíjačky autobatérií";""
"TIP-07730135";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-07720285";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"LEC-TSA3545-B";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Kuchynské roboty";"";"";""
"LEC-TSA3545-W";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Kuchynské roboty";"";"";""
"TIP-03360241";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické konektory";"";"";""
"ABL-30-B1-079";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-080";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-081";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-169";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-016";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-018";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-019";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-268";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-269";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-285";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-286";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-287";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-308";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-449";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-487";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-488";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"TOC-SX1042";"";"Auto-moto > Príslušenstvo do auta > Autopoťahy a ochrana sedadiel";"Chovateľské potreby > Venčenie a transport";"";""
"TIP-04290151";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"TIP-04290152";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"TIP-07720256";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"ATO-2631600400";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia";"Chovateľské potreby > Misky a dávkovače krmiva";"";""
"ATO-2631610100";"";"Chovateľské potreby > Fontány a napájačky > Fontány pre psy a mačky";"";"";""
"ATO-2631600200";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia";"Chovateľské potreby > Misky a dávkovače krmiva";"";""
"ATO-2631600100";"";"Chovateľské potreby > Misky a dávkovače krmiva";"";"";""
"ABL-30-B3-125";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B4-031";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"TIP-07720188";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"TIP-03360267";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické konektory";"";"";""
"ABL-30-B1-307";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-314";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ABL-30-B1-316";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-329";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"TIP-07720258";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"ABL-30-B3-016";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
