id;name;indexName;description;webUrl;inMenu;inList;metaTitle;metaDescription;manufacturingCompanyName;postalAddress;contactEmail;europeanResellerManufacturingCompanyName;europeanResellerPostalAddress;europeanResellerContactEmail;
"1455";"Quigg";"quigg";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1461";"Scholl";"scholl";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1464";"NESCAFÉ Dolce Gusto";"nescafe-dolce-gusto";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1467";"Boly";"boly";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1473";"Hikvision";"hikvision";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1479";"EMP Centauri";"emp-centauri";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1485";"Forestcam";"forestcam";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1494";"Bunaty";"bunaty";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1503";"Skylink";"skylink";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1521";"Maxell";"maxell";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1524";"Pro-Ject";"pro-ject";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1533";"Logitech";"logitech";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1536";"TS";"ts";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1539";"Gembird";"gembird";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1542";"Fonestar";"fonestar";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1548";"Finish";"finish";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1560";"Truecam";"truecam";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1563";"De Dietrich";"de-dietrich";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1569";"First Austria";"first-austria";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1572";"Monster";"monster";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1578";"BML";"bml";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1599";"Reflecta";"reflecta";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1602";"Fleg";"fleg";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1605";"Marshall";"marshall";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1608";"Brilanz";"brilanz";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1611";"Veritas";"veritas";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1614";"Thrustmaster";"thrustmaster";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1617";"Vestfrost";"vestfrost";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1620";"Rommelsbacher";"rommelsbacher";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1626";"Honeywell";"honeywell";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1632";"Sandberg";"sandberg";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1635";"Ceresit";"ceresit";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1638";"Kuchenmeister";"kuchenmeister";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1653";"E-Blue";"e-blue";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1656";"Soundeus";"soundeus";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1665";"Pioneer DJ";"pioneer-dj";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1668";"Genesis";"genesis";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1671";"Avair";"avair";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1680";"Omega";"omega";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1686";"Tefcold";"tefcold";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1689";"Crosley";"crosley";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1692";"GPO";"gpo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1695";"Happy Plugs";"happy-plugs";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1698";"Earfun";"earfun";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1701";"Bubliq";"bubliq";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1710";"Sage";"sage";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1713";"Princess";"princess";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1722";"Saft";"saft";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1728";"Jabra";"jabra";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1737";"Tozo";"tozo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1746";"Sodastream";"sodastream";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1752";"Music Sound";"music-sound";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1755";"Snaige";"snaige";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1758";"Schock";"schock";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1761";"Noname";"noname";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1764";"Fenda";"fenda";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1767";"Ventila";"ventila";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1773";"mQuvée";"mquvee";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1779";"Inakustik";"inakustik";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1788";"Creative";"creative";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1791";"Care&Protect";"care-protect";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1797";"DR.COFFEE";"dr-coffee";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1803";"Fixapart";"fixapart";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1809";"Asko";"asko";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1821";"Tineco";"tineco";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1827";"FRACCARO";"fraccaro";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1830";"WTV";"wtv";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1833";"Safly";"safly";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1836";"Hale";"hale";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1854";"Reolink";"reolink";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1878";"Coca Cola";"coca-cola";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1881";"A2D2";"a2d2";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1884";"Climadiff";"climadiff";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1887";"Klipsch";"klipsch";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1896";"Gogen";"gogen";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1899";"Ciarko Design";"ciarko-design";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1902";"Sogo";"sogo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1908";"Neutralle";"neutralle";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1911";"Nestlé";"nestle";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1917";"Bugani";"bugani";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1920";"HOVERAir";"hoverair";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2088";"Wahl";"wahl";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2133";"Lexibook";"lexibook";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2154";"Eleven";"eleven";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2184";"Silverlit";"silverlit";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2412";"Torras";"torras";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2424";"Cheerble";"cheerble";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2451";"Huanger";"huanger";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2457";"KiDS Licensing";"kids-licensing";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2472";"INNOVAGOODS";"innovagoods";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2484";"Homerunpet";"homerunpet";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2496";"Dogness";"dogness";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2499";"Aukey";"aukey";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2502";"Tenwin";"tenwin";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2514";"Morphy Richards";"morphy-richards";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2520";"Perlesmith";"perlesmith";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2523";"Perlegear";"perlegear";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2535";"AiRROBO";"airrobo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2541";"MIIIW";"miiiw";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2553";"Mcdodo";"mcdodo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2574";"Phomemo";"phomemo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2577";"Himawari";"himawari";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2586";"Noise";"noise";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2601";"METZ";"metz";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2604";"APEXEL";"apexel";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2628";"Petlibro";"petlibro";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2649";"UNITREE";"unitree";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2763";"Kingsmith";"kingsmith";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2772";"iPega";"ipega";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2775";"Liberex";"liberex";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2778";"FairyWill";"fairywill";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2781";"SanDisk";"sandisk";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2784";"Leacco";"leacco";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2787";"ENCHEN";"enchen";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2790";"KiwiHome";"kiwihome";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2793";"Yunmai";"yunmai";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2796";"Thunderobot";"thunderobot";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2799";"Orico";"orico";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2802";"ieGeek";"iegeek";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2805";"WACACO";"wacaco";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2808";"GlocalMe";"glocalme";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2811";"Viofo";"viofo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2817";"Gigaled";"gigaled";"";"";"0";"0";"";"";"";"";"";"";"";"";
