code;pairCode;name;guid;defaultCategory;categoryText;categoryText2;categoryText3;categoryText4;categoryText5;categoryText6;categoryText7;categoryText8;categoryText9;categoryText10;categoryText11;
"AT_TOC-SX8108";;"Modul s nářadím do dílenského vozíku MECHANIC TOOL TRAY 8, 21ks SIXTOL";"419eda78-a417-11f1-b21b-bc2411e8af0e";"Náradie a dielňa > Dielenské vybavenie > Kufre a organizéry na náradie";"Náradie a dielňa > Dielenské vybavenie > Kufre a organizéry na náradie";;;;;;;;;;;
"AT_LEC-RBA-2322G-08";;"Kettlebell Bitumenový  8 kg šedý REBEL ACTIVE RBA-2322G-08";"41ab89d0-a417-11f1-8d70-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Kettlebell";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Kettlebell";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;;
"AT_ABT-A500008081";;"Solární panel SOLARFAM 100W, 1230x470x2mm, CPC, flexibilní, Bílý";"41b7adf0-a417-11f1-9b48-bc2411e8af0e";"Fotovoltaika a energie > Fotovoltaika > Solárne panely > Flexibilní solárne panely";"Fotovoltaika a energie > Fotovoltaika > Solárne panely > Flexibilní solárne panely";;;;;;;;;;;
"AT_LEC-RBA-2000";;"Posilovací lavice REBEL ACTIVE RBA-2000";"4216b174-a417-11f1-b863-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Pomôcky na cvičenie břicha";"Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Pomôcky na cvičenie břicha";"Šport, hračky a voľný čas > Posilňovanie a fitness > Posilňovacie lavice";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;
"AT_LEC-RBA-2002";;"Posilovací lavice REBEL ACTIVE RBA-2002";"422675d2-a417-11f1-89da-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Pomôcky na cvičenie břicha";"Šport, hračky a voľný čas > Posilňovanie a fitness > Pomôcky na cvičenie > Pomôcky na cvičenie břicha";"Šport, hračky a voľný čas > Posilňovanie a fitness > Posilňovacie lavice";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;
"AT_TIP-04250102";;"Baterie olověná  12V / 55Ah  VIPOW bezúdržbový akumulátor";"42ffe66e-a417-11f1-938c-bc2411e8af0e";"Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V";"Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V";;;;;;;;;;;
"AT_SP43048B";;"Stahovací páska 430x5mm bílá";"430f0e00-a417-11f1-9c34-bc2411e8af0e";"Elektroinštalačný materiál > Inštalačné príslušenstvo > Sťahovacie pásky > Plastové sťahovacie pásky";"Elektroinštalačný materiál > Inštalačné príslušenstvo > Sťahovacie pásky > Plastové sťahovacie pásky";"Náradie a dielňa > Drobné náradie a príslušenstvo > Sťahovacie pásky a spony";"TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Spojovací a kotviaci materiál, chémia > Sťahovacie pásky";;;;;;;;;
"AT_CXMAMIKO";;"Koaxiální kabel Amiko RG6-CCS / 6,8 mm - METRÁŽ";"4352e60c-a417-11f1-a683-bc2411e8af0e";"Elektroinštalačný materiál > Káble a vodiče > Koaxiálne káble";"Elektroinštalačný materiál > Káble a vodiče > Koaxiálne káble";"TV, audio a video > Antény a satelity > Koaxiálne káble > Metráž";;;;;;;;;;
"AT_CXMCB500";;"Koaxiální kabel CB500 / 5 mm - METRÁŽ";"435f1f44-a417-11f1-9454-bc2411e8af0e";"Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > Káble";"Bezpečnosť a smart domácnosť > Kamerové systémy > PRÍSLUŠENSTVO > Káble";"Elektroinštalačný materiál > Káble a vodiče > Koaxiálne káble";"TV, audio a video > Antény a satelity > Koaxiálne káble > Metráž";;;;;;;;;
"AT_EM-ELTUPR0036732";;"Příchytka pro trubky (husí krk) kopos EN pr. 20 mm, tmavě šedá. KOPOS 5320_LB";"43ca89fa-a417-11f1-982f-bc2411e8af0e";"Elektroinštalačný materiál > Inštalačné príslušenstvo > Rúrky a chráničky > Chráničky (husí krk)";"Elektroinštalačný materiál > Rozvádzačové prvky > DIN lišty, průchodky a príslušenstvo";"Elektroinštalačný materiál > Inštalačné príslušenstvo > Rúrky a chráničky > Chráničky (husí krk)";"Fotovoltaika a energie > Fotovoltaika > Káble pre fotovoltaiku > Chráničky";;;;;;;;;
