id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription
"40044";"39567";"fritezy-a-hrnce";"0";"0";"";"1";"Polievkovary";"Polievkovary";"polievkovary";"";"";"Polievkovary | PremiumStore.sk";"Polievkovary: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"40062";"39567";"fritezy-a-hrnce";"0";"0";"";"1";"Variče vajec";"Variče vajec";"varice-vajec";"";"";"Variče vajec | PremiumStore.sk";"Variče vajec – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"40467";"39567";"fritezy-a-hrnce";"0";"0";"";"1";"Sous-Vide";"Sous-Vide";"sous-vide";"";"";"Sous-Vide | PremiumStore.sk";"Sous-Vide: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"39810";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Elektrické deky";"Elektrické deky";"elektricke-deky";"";"";"Elektrické deky | PremiumStore.sk";"Elektrické deky – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"39996";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Elektrické manikúry a pedikúry";"Elektrické manikúry a pedikúry";"elektricke-manikury-a-pedikury";"";"";"Elektrické manikúry a pedikúry | PremiumStore.sk";"Elektrické manikúry a pedikúry v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40281";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Stop koronavírusu";"Stop koronavírusu";"stop-koronavirusu";"";"";"Stop koronavírusu | PremiumStore.sk";"Stop koronavírusu v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40371";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Parfumy a kozmetika";"Parfumy a kozmetika";"parfumy-a-kozmetika";"";"";"Parfumy a kozmetika | PremiumStore.sk";"Parfumy a kozmetika na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40452";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Čistenie pleti";"Čistenie pleti";"cistenie-pleti";"";"";"Čistenie pleti | PremiumStore.sk";"Čistenie pleti v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40461";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Masážne prístroje";"Masážne prístroje";"masazne-pristroje";"";"";"Zdravie a starostlivosť – Masážne prístroje | PremiumStore.sk";"Zdravie a starostlivosť – Masážne prístroje: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45972";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Holiace strojčeky a zastrihávače";"Holiace strojčeky a zastrihávače";"holiace-strojceky-a-zastrihavace";"";"";"Holiace strojčeky a zastrihávače | PremiumStore.sk";"Holiace strojčeky a zastrihávače skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
