id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription
"45243";"41856";"kladiva--dlata--sekery";"0";"0";"";"1";"Sekáče SDS";"Sekáče SDS";"sekace-sds";"";"";"Sekáče SDS | PremiumStore.sk";"Sekáče SDS v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"45270";"41856";"kladiva--dlata--sekery";"0";"0";"";"1";"Dláta";"Dláta";"dlata";"";"";"Dláta | PremiumStore.sk";"Dláta skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"48144";"41856";"kladiva--dlata--sekery";"0";"0";"";"1";"Výsečníky";"Výsečníky";"vysecniky";"";"";"";"";
"41865";"41862";"murarske-prace";"0";"0";"";"1";"Pištole na kartuše";"Pištole na kartuše";"pistole-na-kartuse";"";"";"Pištole na kartuše | PremiumStore.sk";"Pištole na kartuše – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"44097";"41862";"murarske-prace";"0";"0";"";"1";"Špachtle, stierky";"Špachtle, stierky";"spachtle--stierky";"";"";"Špachtle, stierky | PremiumStore.sk";"Špachtle, stierky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44100";"41862";"murarske-prace";"0";"0";"";"1";"Hladidlá a stierky";"Hladidlá a stierky";"hladidla-a-stierky";"";"";"Hladidlá a stierky | PremiumStore.sk";"Hladidlá a stierky – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"44961";"41862";"murarske-prace";"0";"0";"";"1";"Vedrá";"Vedrá";"vedra";"";"";"Murárske práce – Vedrá | PremiumStore.sk";"Murárske práce – Vedrá – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"45399";"41862";"murarske-prace";"0";"0";"";"1";"Pištole na mont. pěnu";"Pištole na mont. pěnu";"pistole-na-mont--penu";"";"";"Pištole na mont. pěnu | PremiumStore.sk";"Pištole na mont. pěnu v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"41871";"41868";"nastroje";"0";"0";"";"1";"Lepící pásky";"Lepící pásky";"lepici-pasky";"";"";"Lepící pásky | PremiumStore.sk";"Lepící pásky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"42516";"41868";"nastroje";"0";"0";"";"1";"Lana a murárske křídy";"Lana a murárske křídy";"lana-a-murarske-kridy";"";"";"Lana a murárske křídy | PremiumStore.sk";"Lana a murárske křídy skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"44904";"41868";"nastroje";"0";"0";"";"1";"Dláta, sekáče";"Dláta, sekáče";"dlata--sekace";"";"";"Dláta, sekáče | PremiumStore.sk";"Dláta, sekáče skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45252";"41868";"nastroje";"0";"0";"";"1";"Páčidlá";"Páčidlá";"pacidla";"";"";"Páčidlá | PremiumStore.sk";"Páčidlá skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42009";"41877";"autokozmetika--chemia";"0";"0";"";"1";"Rozmrazovače";"Rozmrazovače";"rozmrazovace";"";"";"Rozmrazovače | PremiumStore.sk";"Rozmrazovače – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"42795";"41877";"autokozmetika--chemia";"0";"0";"";"1";"Oleje, mazivá";"Oleje, mazivá";"oleje--maziva";"";"";"Oleje, mazivá | PremiumStore.sk";"Oleje, mazivá – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"42798";"41877";"autokozmetika--chemia";"0";"0";"";"1";"Renovace";"Renovace";"renovace";"";"";"Renovace | PremiumStore.sk";"Renovace na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"41931";"41928";"zahradne-hnojiva";"0";"0";"";"1";"Krystalická hnojivá";"Krystalická hnojivá";"krystalicka-hnojiva";"";"";"Krystalická hnojivá | PremiumStore.sk";"Krystalická hnojivá – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"41934";"41928";"zahradne-hnojiva";"0";"0";"";"1";"Tekuté hnojivá";"Tekuté hnojivá";"tekute-hnojiva";"";"";"Tekuté hnojivá | PremiumStore.sk";"Tekuté hnojivá skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"41937";"41928";"zahradne-hnojiva";"0";"0";"";"1";"Organominerální hnojivá";"Organominerální hnojivá";"organomineralni-hnojiva";"";"";"Organominerální hnojivá | PremiumStore.sk";"Organominerální hnojivá: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"42903";"41928";"zahradne-hnojiva";"0";"0";"";"1";"Granulovaná hnojivá na záhradu";"Granulovaná hnojivá na záhradu";"granulovana-hnojiva-na-zahradu";"";"";"Granulovaná hnojivá na záhradu | PremiumStore.sk";"Granulovaná hnojivá na záhradu – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"42930";"41928";"zahradne-hnojiva";"0";"0";"";"1";"Organická hnojivá";"Organická hnojivá";"organicka-hnojiva";"";"";"Organická hnojivá | PremiumStore.sk";"Organická hnojivá: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45516";"41946";"autopotahy";"0";"0";"";"1";"Univerzálne autopotahy - dvě sedadla";"Univerzálne autopotahy - dvě sedadla";"univerzalne-autopotahy-dve-sedadla";"";"";"Univerzálne autopotahy - dvě sedadla | PremiumStore.sk";"Univerzálne autopotahy - dvě sedadla – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"45522";"41946";"autopotahy";"0";"0";"";"1";"Opěrky hlavy";"Opěrky hlavy";"operky-hlavy";"";"";"Opěrky hlavy | PremiumStore.sk";"Opěrky hlavy – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"45534";"41946";"autopotahy";"0";"0";"";"1";"Univerzálne autopotahy - dodávky";"Univerzálne autopotahy - dodávky";"univerzalne-autopotahy-dodavky";"";"";"Univerzálne autopotahy - dodávky | PremiumStore.sk";"Univerzálne autopotahy - dodávky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45597";"41946";"autopotahy";"0";"0";"";"1";"Univerzálne autopotahy";"Univerzálne autopotahy";"univerzalne-autopotahy";"";"";"Univerzálne autopotahy | PremiumStore.sk";"Univerzálne autopotahy v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"44724";"41949";"kolesa";"0";"0";"";"1";"Měřiče tlaku";"Měřiče tlaku";"merice-tlaku";"";"";"Měřiče tlaku | PremiumStore.sk";"Měřiče tlaku na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"42228";"41982";"kluce-2";"0";"0";"";"1";"Momentové kľúče";"Momentové kľúče";"momentove-kluce";"";"";"Momentové kľúče | PremiumStore.sk";"Momentové kľúče skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"44580";"41982";"kluce-2";"0";"0";"";"1";"Nadstavce";"Nadstavce";"nadstavce";"";"";"Nadstavce | PremiumStore.sk";"Nadstavce v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"45033";"41982";"kluce-2";"0";"0";"";"1";"Nastaviteľné kľúče";"Nastaviteľné kľúče";"nastavitelne-kluce";"";"";"Nastaviteľné kľúče | PremiumStore.sk";"Nastaviteľné kľúče v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"45570";"41982";"kluce-2";"0";"0";"";"1";"Rúrkové kľúče";"Rúrkové kľúče";"rurkove-kluce";"";"";"Rúrkové kľúče | PremiumStore.sk";"Rúrkové kľúče skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42039";"42036";"auto-koberce-volkswagen";"0";"0";"";"1";"Crafter";"Crafter";"crafter";"";"";"Crafter | PremiumStore.sk";"Crafter – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"43434";"42036";"auto-koberce-volkswagen";"0";"0";"";"1";"Amarok";"Amarok";"amarok";"";"";"Amarok | PremiumStore.sk";"Amarok v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"43635";"42036";"auto-koberce-volkswagen";"0";"0";"";"1";"Polo";"Polo";"polo";"";"";"Polo | PremiumStore.sk";"Polo – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"43644";"42036";"auto-koberce-volkswagen";"0";"0";"";"1";"Transporter";"Transporter";"transporter";"";"";"Transporter | PremiumStore.sk";"Transporter skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42045";"42042";"auto-koberce-bmw";"0";"0";"";"1";"X1, X3, X4, X5, X6";"X1, X3, X4, X5, X6";"x1--x3--x4--x5--x6";"";"";"X1, X3, X4, X5, X6 | PremiumStore.sk";"X1, X3, X4, X5, X6 na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"42051";"42048";"auto-koberce-mercedes-benz";"0";"0";"";"1";"Sprinter";"Sprinter";"sprinter";"";"";"Sprinter | PremiumStore.sk";"Sprinter skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"44469";"42048";"auto-koberce-mercedes-benz";"0";"0";"";"1";"Třída G";"Třída G";"trida-g";"";"";"Třída G | PremiumStore.sk";"Třída G: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45531";"42048";"auto-koberce-mercedes-benz";"0";"0";"";"1";"Třída C";"Třída C";"trida-c";"";"";"Třída C | PremiumStore.sk";"Třída C v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"45672";"42048";"auto-koberce-mercedes-benz";"0";"0";"";"1";"Třída A";"Třída A";"trida-a";"";"";"Třída A | PremiumStore.sk";"Třída A – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"42057";"42054";"auto-koberce-audi";"0";"0";"";"1";"Audi Q3";"Audi Q3";"audi-q3";"";"";"Audi Q3 | PremiumStore.sk";"Audi Q3 skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42060";"42054";"auto-koberce-audi";"0";"0";"";"1";"Audi Q8";"Audi Q8";"audi-q8";"";"";"Audi Q8 | PremiumStore.sk";"Audi Q8 v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"43638";"42054";"auto-koberce-audi";"0";"0";"";"1";"Audi Q2";"Audi Q2";"audi-q2";"";"";"Audi Q2 | PremiumStore.sk";"Audi Q2 – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"42066";"42063";"auto-koberce-jeep";"0";"0";"";"1";"Cherokee";"Cherokee";"cherokee";"";"";"Cherokee | PremiumStore.sk";"Cherokee na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45618";"42063";"auto-koberce-jeep";"0";"0";"";"1";"Liberty";"Liberty";"liberty";"";"";"Liberty | PremiumStore.sk";"Liberty – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"42426";"42099";"ventilacne-technika";"0";"0";"";"1";"Pre rackové skrine";"Pre rackové skrine";"pre-rackove-skrine";"";"";"Pre rackové skrine | PremiumStore.sk";"Pre rackové skrine skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42429";"42099";"ventilacne-technika";"0";"0";"";"1";"Pokojové rekuperační jednotky";"Pokojové rekuperační jednotky";"pokojove-rekuperacni-jednotky";"";"";"Pokojové rekuperační jednotky | PremiumStore.sk";"Pokojové rekuperační jednotky skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"44175";"42099";"ventilacne-technika";"0";"0";"";"1";"Talířové ventily a difuzéry";"Talířové ventily a difuzéry";"talirove-ventily-a-difuzery";"";"";"Talířové ventily a difuzéry | PremiumStore.sk";"Talířové ventily a difuzéry na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44553";"42099";"ventilacne-technika";"0";"0";"";"1";"Osoušeče rukou";"Osoušeče rukou";"osousece-rukou";"";"";"Osoušeče rukou | PremiumStore.sk";"Osoušeče rukou – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"45156";"42099";"ventilacne-technika";"0";"0";"";"1";"Krbové ventilátory";"Krbové ventilátory";"krbove-ventilatory";"";"";"Krbové ventilátory | PremiumStore.sk";"Krbové ventilátory – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"42105";"42102";"vzduchovody";"0";"0";"";"1";"Flexipotrubí kruhové";"Flexipotrubí kruhové";"flexipotrubi-kruhove";"";"";"Flexipotrubí kruhové | PremiumStore.sk";"Flexipotrubí kruhové – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"42909";"42102";"vzduchovody";"0";"0";"";"1";"Kovové potrubie";"Kovové potrubie";"kovove-potrubie";"";"";"Kovové potrubie | PremiumStore.sk";"Kovové potrubie na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44997";"42102";"vzduchovody";"0";"0";"";"1";"Flexipotrubí ploché";"Flexipotrubí ploché";"flexipotrubi-ploche";"";"";"Flexipotrubí ploché | PremiumStore.sk";"Flexipotrubí ploché: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45600";"42102";"vzduchovody";"0";"0";"";"1";"Ohebné potrubie - POLYVENT";"Ohebné potrubie - POLYVENT";"ohebne-potrubie-polyvent";"";"";"Ohebné potrubie - POLYVENT | PremiumStore.sk";"Ohebné potrubie - POLYVENT skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42129";"42126";"odpudzovace-a-lapace-hmyzu";"0";"0";"";"1";"Odpudzovače a lapače hmyzu";"Odpudzovače a lapače hmyzu";"odpudzovace-a-lapace-hmyzu-2";"";"";"Odpudzovače a lapače hmyzu – Odpudzovače a lapače hmyzu";"Odpudzovače a lapače hmyzu – Odpudzovače a lapače hmyzu skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42747";"42126";"odpudzovace-a-lapace-hmyzu";"0";"0";"";"1";"Odpudzovače ptáků";"Odpudzovače ptáků";"odpudzovace-ptaku";"";"";"Odpudzovače ptáků | PremiumStore.sk";"Odpudzovače ptáků – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"42840";"42126";"odpudzovace-a-lapace-hmyzu";"0";"0";"";"1";"Odpudzovače a lapače slimáků";"Odpudzovače a lapače slimáků";"odpudzovace-a-lapace-slimaku";"";"";"Odpudzovače a lapače slimáků | PremiumStore.sk";"Odpudzovače a lapače slimáků na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45012";"42126";"odpudzovace-a-lapace-hmyzu";"0";"0";"";"1";"Odpudzovače psů, mačiek a zvěře";"Odpudzovače psů, mačiek a zvěře";"odpudzovace-psu--maciek-a-zvere";"";"";"Odpudzovače psů, mačiek a zvěře | PremiumStore.sk";"Odpudzovače psů, mačiek a zvěře – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"44316";"42138";"podvozek";"0";"0";"";"1";"Ostatné";"Ostatné";"ostatne-8";"";"";"Podvozek – Ostatné | PremiumStore.sk";"Podvozek – Ostatné na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44391";"42141";"hevaky-a-zdvihaky";"0";"0";"";"1";"Náhradné diely k heverům";"Náhradné diely k heverům";"nahradne-diely-k-heverum";"";"";"Náhradné diely k heverům | PremiumStore.sk";"Náhradné diely k heverům – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"44010";"42150";"domove-ventilatory";"0";"0";"";"1";"Ventilátory do koupelny/WC - do potrubie";"Ventilátory do koupelny/WC - do potrubie";"ventilatory-do-koupelny-wc-do-potrubie";"";"";"Ventilátory do koupelny/WC - do potrubie | PremiumStore.sk";"Ventilátory do koupelny/WC - do potrubie na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"42156";"42153";"ventilatory-podla-typove-rady-vents";"0";"0";"";"1";"Ventilátory - typ VKO";"Ventilátory - typ VKO";"ventilatory-typ-vko";"";"";"Ventilátory - typ VKO | PremiumStore.sk";"Ventilátory - typ VKO v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"43980";"42153";"ventilatory-podla-typove-rady-vents";"0";"0";"";"1";"Ventilátory - typ QUIET";"Ventilátory - typ QUIET";"ventilatory-typ-quiet";"";"";"Ventilátory - typ QUIET | PremiumStore.sk";"Ventilátory - typ QUIET na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45108";"42153";"ventilatory-podla-typove-rady-vents";"0";"0";"";"1";"Ventilátory - typ PF";"Ventilátory - typ PF";"ventilatory-typ-pf";"";"";"Ventilátory - typ PF | PremiumStore.sk";"Ventilátory - typ PF: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45153";"42153";"ventilatory-podla-typove-rady-vents";"0";"0";"";"1";"Ventilátory - typ QUIETLINE";"Ventilátory - typ QUIETLINE";"ventilatory-typ-quietline";"";"";"Ventilátory - typ QUIETLINE | PremiumStore.sk";"Ventilátory - typ QUIETLINE na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"45201";"42153";"ventilatory-podla-typove-rady-vents";"0";"0";"";"1";"Ventilátory - typ CF";"Ventilátory - typ CF";"ventilatory-typ-cf";"";"";"Ventilátory - typ CF | PremiumStore.sk";"Ventilátory - typ CF skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45330";"42153";"ventilatory-podla-typove-rady-vents";"0";"0";"";"1";"Ventilátory - typ VKOk";"Ventilátory - typ VKOk";"ventilatory-typ-vkok";"";"";"Ventilátory - typ VKOk | PremiumStore.sk";"Ventilátory - typ VKOk v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"45372";"42153";"ventilatory-podla-typove-rady-vents";"0";"0";"";"1";"Ventilátory - typ VN";"Ventilátory - typ VN";"ventilatory-typ-vn";"";"";"Ventilátory - typ VN | PremiumStore.sk";"Ventilátory - typ VN v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"45438";"42153";"ventilatory-podla-typove-rady-vents";"0";"0";"";"1";"Ventilátory - typ VVR";"Ventilátory - typ VVR";"ventilatory-typ-vvr";"";"";"Ventilátory - typ VVR | PremiumStore.sk";"Ventilátory - typ VVR skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45753";"42153";"ventilatory-podla-typove-rady-vents";"0";"0";"";"1";"Ventilátory - typ MAO1";"Ventilátory - typ MAO1";"ventilatory-typ-mao1";"";"";"Ventilátory - typ MAO1 | PremiumStore.sk";"Ventilátory - typ MAO1 na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"42162";"42159";"preprava-a-skladovani";"0";"0";"";"1";"Organizéry";"Organizéry";"organizery";"";"";"Přeprava a skladování – Organizéry | PremiumStore.sk";"Přeprava a skladování – Organizéry v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"45645";"42159";"preprava-a-skladovani";"0";"0";"";"1";"Magnetické pořadače a lišty";"Magnetické pořadače a lišty";"magneticke-poradace-a-listy";"";"";"Magnetické pořadače a lišty | PremiumStore.sk";"Magnetické pořadače a lišty – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"43749";"42183";"drobne-naradie-a-prislusenstvo";"0";"0";"";"1";"Zámky";"Zámky";"zamky";"";"";"Zámky | PremiumStore.sk";"Zámky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44430";"42183";"drobne-naradie-a-prislusenstvo";"0";"0";"";"1";"Podložky a krúžky";"Podložky a krúžky";"podlozky-a-kruzky";"";"";"Podložky a krúžky | PremiumStore.sk";"Podložky a krúžky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"45072";"42183";"drobne-naradie-a-prislusenstvo";"0";"0";"";"1";"Razidlá";"Razidlá";"razidla";"";"";"Razidlá | PremiumStore.sk";"Razidlá skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"43380";"42201";"motor";"0";"0";"";"1";"Prípravky";"Prípravky";"pripravky";"";"";"Prípravky | PremiumStore.sk";"Prípravky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"43065";"42204";"olej";"0";"0";"";"1";"Olejové vany";"Olejové vany";"olejove-vany";"";"";"Olejové vany | PremiumStore.sk";"Olejové vany – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"45027";"42204";"olej";"0";"0";"";"1";"Olejničky a maznice";"Olejničky a maznice";"olejnicky-a-maznice";"";"";"Olejničky a maznice | PremiumStore.sk";"Olejničky a maznice na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"42282";"42279";"pneumaticke-naradie";"0";"0";"";"1";"Príslušenstvo k pneu náradie";"Príslušenstvo k pneu náradie";"prislusenstvo-k-pneu-naradie";"";"";"Príslušenstvo k pneu náradie | PremiumStore.sk";"Príslušenstvo k pneu náradie – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"44190";"42279";"pneumaticke-naradie";"0";"0";"";"1";"Rázové uťahováky";"Rázové uťahováky";"razove-utahovaky";"";"";"Pneumatické náradie – Rázové uťahováky | PremiumStore.sk";"Pneumatické náradie – Rázové uťahováky – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"44739";"42279";"pneumaticke-naradie";"0";"0";"";"1";"Pištole";"Pištole";"pistole";"";"";"Pištole | PremiumStore.sk";"Pištole skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42285";"42282";"prislusenstvo-k-pneu-naradie";"0";"0";"";"1";"Rýchlospojky";"Rýchlospojky";"rychlospojky";"";"";"Rýchlospojky | PremiumStore.sk";"Rýchlospojky v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"42807";"42282";"prislusenstvo-k-pneu-naradie";"0";"0";"";"1";"Hadice";"Hadice";"hadice";"";"";"Príslušenstvo k pneu náradie – Hadice | PremiumStore.sk";"Príslušenstvo k pneu náradie – Hadice na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"42309";"42306";"plysove-hracky";"0";"0";"";"1";"Plyšáky ostatné";"Plyšáky ostatné";"plysaky-ostatne";"";"";"Plyšáky ostatné | PremiumStore.sk";"Plyšáky ostatné – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"42339";"42324";"elektromery-a-spinacie-technika";"0";"0";"";"1";"Schodišťové automaty";"Schodišťové automaty";"schodistove-automaty";"";"";"Schodišťové automaty | PremiumStore.sk";"Schodišťové automaty: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"42414";"42324";"elektromery-a-spinacie-technika";"0";"0";"";"1";"Impulzní spínače";"Impulzní spínače";"impulzni-spinace";"";"";"Impulzní spínače | PremiumStore.sk";"Impulzní spínače – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"43653";"42324";"elektromery-a-spinacie-technika";"0";"0";"";"1";"Zásuvkové elektromery";"Zásuvkové elektromery";"zasuvkove-elektromery";"";"";"Zásuvkové elektromery | PremiumStore.sk";"Zásuvkové elektromery skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"45219";"42324";"elektromery-a-spinacie-technika";"0";"0";"";"1";"Hladinvé spínače";"Hladinvé spínače";"hladinve-spinace";"";"";"Hladinvé spínače | PremiumStore.sk";"Hladinvé spínače v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"44142";"42333";"spinacie-zasuvky";"0";"0";"";"1";"Smart zásuvky";"Smart zásuvky";"smart-zasuvky";"";"";"Smart zásuvky | PremiumStore.sk";"Smart zásuvky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"42345";"42342";"kablove-gelove-spojky";"0";"0";"";"1";"Káblové gelové spojky PAGURO IP68";"Káblové gelové spojky PAGURO IP68";"kablove-gelove-spojky-paguro-ip68";"";"";"Káblové gelové spojky PAGURO IP68 | PremiumStore.sk";"Káblové gelové spojky PAGURO IP68 na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"43107";"42342";"kablove-gelove-spojky";"0";"0";"";"1";"Jednosložkové vyplňovací gély";"Jednosložkové vyplňovací gély";"jednoslozkove-vyplnovaci-gely";"";"";"Jednosložkové vyplňovací gély | PremiumStore.sk";"Jednosložkové vyplňovací gély – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"43320";"42342";"kablove-gelove-spojky";"0";"0";"";"1";"Protahovací gély na káble";"Protahovací gély na káble";"protahovaci-gely-na-kable";"";"";"Protahovací gély na káble | PremiumStore.sk";"Protahovací gély na káble v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"43677";"42342";"kablove-gelove-spojky";"0";"0";"";"1";"Káblové gelové spojky LEDJOY IP68";"Káblové gelové spojky LEDJOY IP68";"kablove-gelove-spojky-ledjoy-ip68";"";"";"Káblové gelové spojky LEDJOY IP68 | PremiumStore.sk";"Káblové gelové spojky LEDJOY IP68 skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"43680";"42342";"kablove-gelove-spojky";"0";"0";"";"1";"Káblové spojky SHARK IP68";"Káblové spojky SHARK IP68";"kablove-spojky-shark-ip68";"";"";"Káblové spojky SHARK IP68 | PremiumStore.sk";"Káblové spojky SHARK IP68: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"43734";"42342";"kablove-gelove-spojky";"0";"0";"";"1";"Ochranné gelové krabičky";"Ochranné gelové krabičky";"ochranne-gelove-krabicky";"";"";"Ochranné gelové krabičky | PremiumStore.sk";"Ochranné gelové krabičky na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"44895";"42342";"kablove-gelove-spojky";"0";"0";"";"1";"Príslušenstvo pre káblové gelové spojky";"Príslušenstvo pre káblové gelové spojky";"prislusenstvo-pre-kablove-gelove-spojky";"";"";"Príslušenstvo pre káblové gelové spojky | PremiumStore.sk";"Príslušenstvo pre káblové gelové spojky skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42408";"42405";"prislusenstvo-k-ventilatorum";"0";"0";"";"1";"Časová, doběhová relé";"Časová, doběhová relé";"casova--dobehova-rele";"";"";"Časová, doběhová relé | PremiumStore.sk";"Časová, doběhová relé na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
