id;parentId;depth;name;url;full_path
g99;nmtx2zmrqmyq3yo;1;Žehličky;zehlicky;Domáce spotrebiče > Žehličky
nmtx2zb3yft543o;;0;Elektro, Smart Home a osvetlenie;elektro-smart-home-a-osvetlenie;Elektro, Smart Home a osvetlenie
g46;nmtx2zb3yft543o;1;Bezdrôtové zvončeky;zvonceky-2;Elektro, Smart Home a osvetlenie > Bezdrôtové zvončeky
g49;nmtx2zb3yft543o;1;Cestovné adaptéry;cestovne-adaptery-3;Elektro, Smart Home a osvetlenie > Cestovné adaptéry
g45;nmtx2zb3yft543o;1;Elektromery a spínacie technika;elektromery-a-spinacie-technika;Elektro, Smart Home a osvetlenie > Elektromery a spínacie technika
g55;nmtx2zb3yft543o;1;IP kamery;ip-kamery-3;Elektro, Smart Home a osvetlenie > IP kamery
g48;nmtx2zb3yft543o;1;Inštalačné náradie a materiál;instalacne-naradie-a-material;Elektro, Smart Home a osvetlenie > Inštalačné náradie a materiál
g42;nmtx2zb3yft543o;1;Inštalačné príslušenstvo;instalacne-prislusenstvo;Elektro, Smart Home a osvetlenie > Inštalačné príslušenstvo
g47;nmtx2zb3yft543o;1;Ističe a chrániče;istice-a-chranice;Elektro, Smart Home a osvetlenie > Ističe a chrániče
g44;nmtx2zb3yft543o;1;Káble a vodiče;kable-a-vodice;Elektro, Smart Home a osvetlenie > Káble a vodiče
g40;nmtx2zb3yft543o;1;Montážne skrine a rozvádzače;montazne-skrine-a-rozvadzace;Elektro, Smart Home a osvetlenie > Montážne skrine a rozvádzače
g36;nmtx2zb3yft543o;1;Osvetlenie – svietidlá;osvetlenie;Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá
nmty9y7oap0iq70;g36;2;Komponenty pre svietidlá;komponenty-pre-svietidla;Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > Komponenty pre svietidlá
nmty9wt1mxu5qa8;g36;2;LED osvetlenie;led-osvetlenie;Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > LED osvetlenie
nmty9vnk340se2h;g36;2;Vianočné osvetlenie a dekorácie;vianocne-osvetlenie;Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > Vianočné osvetlenie a dekorácie
g82;nmtx2zb3yft543o;1;Pohony brán a vrát;pohony-bran-a-vrat;Elektro, Smart Home a osvetlenie > Pohony brán a vrát
g38;nmtx2zb3yft543o;1;Predlžovacie káble a vidlice;predlzovacky--zasuvky--vidlica;Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice
g54;nmtx2zb3yft543o;1;Profesionálne kamerové systémy;kamerove-systemy;Elektro, Smart Home a osvetlenie > Profesionálne kamerové systémy
g61;nmtx2zb3yft543o;1;Príslušenstvo pre zabezpečovacie systémy;prislusenstvo-pre-zabezpecovacie-systemy;Elektro, Smart Home a osvetlenie > Príslušenstvo pre zabezpečovacie systémy
g37;nmtx2zb3yft543o;1;Rozvádzačové prvky;rozvadzacove-prvky;Elektro, Smart Home a osvetlenie > Rozvádzačové prvky
g58;nmtx2zb3yft543o;1;Smart domácnosť – zariadenia;smart-domacnost;Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia
g56;nmtx2zb3yft543o;1;Smart riadiace jednotky a huby;riadiace-jednotky;Elektro, Smart Home a osvetlenie > Smart riadiace jednotky a huby
g39;nmtx2zb3yft543o;1;Ventilačná technika;ventilacne-technika;Elektro, Smart Home a osvetlenie > Ventilačná technika
g41;nmtx2zb3yft543o;1;Viacnásobné zásuvky a izolačný materiál;viacnasobne-zasuvky-a-izolacny-material;Elektro, Smart Home a osvetlenie > Viacnásobné zásuvky a izolačný materiál
g43;nmtx2zb3yft543o;1;Vypínače a nástenné zásuvky;vypinace--zasuvky--krabice;Elektro, Smart Home a osvetlenie > Vypínače a nástenné zásuvky
g59;nmtx2zb3yft543o;1;Zabezpečenie – detektory a senzory;zabezpecenie;Elektro, Smart Home a osvetlenie > Zabezpečenie – detektory a senzory
nmtx30fkus8jhzm;;0;Energia a napájanie;fotovoltaika-a-energie;Energia a napájanie
g157;nmtx30fkus8jhzm;1;Akumulátory a batérie;akumulatory-a-baterie;Energia a napájanie > Akumulátory a batérie
g163;nmtx30fkus8jhzm;1;Elektrické stanice;elektricke-stanice;Energia a napájanie > Elektrické stanice
g158;nmtx30fkus8jhzm;1;Fotovoltaika;fotovoltaika;Energia a napájanie > Fotovoltaika
g160;nmtx30fkus8jhzm;1;Meniče napätia;menice-napatia;Energia a napájanie > Meniče napätia
g161;nmtx30fkus8jhzm;1;Nabíjačky;nabijacky;Energia a napájanie > Nabíjačky
g162;nmtx30fkus8jhzm;1;Napájacie zdroje;napajacie-zdroje-2;Energia a napájanie > Napájacie zdroje
g159;nmtx30fkus8jhzm;1;Záložné zdroje a UPS;zalozne-zdroje-a-ups;Energia a napájanie > Záložné zdroje a UPS
nmtx31bbmx4yo53;;0;Počítače, mobily a tablety;pocitace-mobily-a-tablety;Počítače, mobily a tablety
g184;nmtx31bbmx4yo53;1;Akumulátory a batérie do elektroniky;akumulatory--baterie-2;Počítače, mobily a tablety > Akumulátory a batérie do elektroniky
g191;nmtx31bbmx4yo53;1;Disky a pamäťové karty pre NVR;disky-a-pamatove-karty-2;Počítače, mobily a tablety > Disky a pamäťové karty pre NVR
g195;nmtx31bbmx4yo53;1;Dokovacie stanice;dokovacie-stanice-2;Počítače, mobily a tablety > Dokovacie stanice
g149;nmtx31bbmx4yo53;1;Grafické tablety;graficke-tablety-3;Počítače, mobily a tablety > Grafické tablety
g182;nmtx31bbmx4yo53;1;Herné konzoly;herne-zariadenia-2;Počítače, mobily a tablety > Herné konzoly
g193;nmtx31bbmx4yo53;1;Herné kreslá;herne-kresla-2;Počítače, mobily a tablety > Herné kreslá
g156;nmtx31bbmx4yo53;1;Herné ovládače pre mobily;herne-ovladace-4;Počítače, mobily a tablety > Herné ovládače pre mobily
g175;nmtx31bbmx4yo53;1;Herné príslušenstvo pre PC;herne-prislusenstvo-3;Počítače, mobily a tablety > Herné príslušenstvo pre PC
g69;nmtx31bbmx4yo53;1;Kancelária a škola;kancelaria-a-skola;Počítače, mobily a tablety > Kancelária a škola
g178;nmtx31bbmx4yo53;1;Mini PC;mini-pc-2;Počítače, mobily a tablety > Mini PC
g196;nmtx31bbmx4yo53;1;Monitory;monitory-2;Počítače, mobily a tablety > Monitory
g185;nmtx31bbmx4yo53;1;NAS servery a sieťové úložiská;sietove-zariadenia-2;Počítače, mobily a tablety > NAS servery a sieťové úložiská
g151;nmtx31bbmx4yo53;1;Nabíjačky pre mobily;nabijacky-pre-mobily;Počítače, mobily a tablety > Nabíjačky pre mobily
g147;nmtx31bbmx4yo53;1;Nositeľná elektronika;nositelna-elektronika-2;Počítače, mobily a tablety > Nositeľná elektronika
g181;nmtx31bbmx4yo53;1;Notebooky;notebooky-2;Počítače, mobily a tablety > Notebooky
g187;nmtx31bbmx4yo53;1;PC periférie;pc-periferie-2;Počítače, mobily a tablety > PC periférie
g183;nmtx31bbmx4yo53;1;Pamäťové médiá;pamatove-media-2;Počítače, mobily a tablety > Pamäťové médiá
g303;g183;2;Externé disky;externe-disky-2;Počítače, mobily a tablety > Pamäťové médiá > Externé disky
g150;g183;2;Pamäťové karty;pamatove-karty-6;Počítače, mobily a tablety > Pamäťové médiá > Pamäťové karty
g189;g183;2;USB kľúče;usb-kluce;Počítače, mobily a tablety > Pamäťové médiá > USB kľúče
g188;nmtx31bbmx4yo53;1;Predlžovacie a rozbočovacie zásuvky k PC;predlzovacie-kable-3;Počítače, mobily a tablety > Predlžovacie a rozbočovacie zásuvky k PC
g179;nmtx31bbmx4yo53;1;Prenosné monitory;prenosne-monitory-2;Počítače, mobily a tablety > Prenosné monitory
g194;nmtx31bbmx4yo53;1;Príslušenstvo k notebookom;prislusenstvo-k-notebookom-2;Počítače, mobily a tablety > Príslušenstvo k notebookom
g146;nmtx31bbmx4yo53;1;Príslušenstvo pre mobilné telefóny;prislusenstvo-10;Počítače, mobily a tablety > Príslušenstvo pre mobilné telefóny
g146a;g146;2;Powerbanky;powerbanky;Počítače, mobily a tablety > Príslušenstvo pre mobilné telefóny > Powerbanky
g186;nmtx31bbmx4yo53;1;Rackové skrine – príslušenstvo;rackove-skrine-a-prislusenstvo-2;Počítače, mobily a tablety > Rackové skrine – príslušenstvo
g190;nmtx31bbmx4yo53;1;Routery;routery-3;Počítače, mobily a tablety > Routery
g153;nmtx31bbmx4yo53;1;Selfie tyče a statívy pre telefóny;selfie-tyce-4;Počítače, mobily a tablety > Selfie tyče a statívy pre telefóny
g148;nmtx31bbmx4yo53;1;Smart telefóny;smart-telefony-2;Počítače, mobily a tablety > Smart telefóny
g176;nmtx31bbmx4yo53;1;Tablety;tablety-4;Počítače, mobily a tablety > Tablety
