id;parentId;depth;is_leaf;visible;full_path;url;direct_products;subtree_products;empty
48000;39441;1;0;1;Auto-moto > Karavany a obytná autá;karavany-a-obytna-auta;25;218;0
48018;39441;1;1;1;Auto-moto > Prenosné lednice;prenosne-lednice;23;23;0
48021;39441;1;0;1;Auto-moto > Nosiče kol;nosice-kol;9;50;0
48066;39441;1;1;1;Auto-moto > Vysielače do auta;vysielace-do-auta-2;0;0;1
39444;39441;1;0;1;Auto-moto > Autorádiá;autoradia;50;127;0
39969;39441;1;1;1;Auto-moto > GPS navigácie;gps-navigacie;0;0;1
46281;39441;1;0;1;Auto-moto > Bezdrôtové adaptéry CarPlay;bezdrotove-adaptery-carplay;0;31;0
43725;39441;1;0;0;Auto-moto > Nosiče bicyklov;nosice-bicyklov;0;0;1
40713;39441;1;0;1;Auto-moto > Elektrovozidlá;elektrovozidla;0;0;1
40905;39441;1;0;1;Auto-moto > Vybavenie auta;vybavenie-auta;5;986;0
40941;39441;1;0;1;Auto-moto > Bezpečnosť;bezpecnost;4;126;0
40980;39441;1;0;1;Auto-moto > Garáž, Dielňa, Servis;garaz--dielna--servis;16;664;0
41163;39441;1;0;0;Auto-moto > Karavany a obytné autá;karavany-a-obytne-auta;0;0;1
41247;39441;1;0;1;Auto-moto > Audio, Hi-Fi;audio--hi-fi;35;67;0
41307;39441;1;0;1;Auto-moto > Elektromobilita;elektromobilita;6;49;0
41715;39441;1;0;1;Auto-moto > Nabíjanie;nabijanie;0;129;0
41877;39441;1;0;1;Auto-moto > Autokozmetika, Chémia;autokozmetika--chemia;12;121;0
41949;39441;1;0;1;Auto-moto > Kolesá;kolesa;6;65;0
42834;39441;1;1;0;Auto-moto > Prenosné chladničky;prenosne-chladnicky;0;0;1
45777;39441;1;1;1;Auto-moto > Držiaky telefónov;drziaky-telefonov;0;0;1
45918;39441;1;1;1;Auto-moto > Mini kompresory;mini-kompresory;0;0;1
46062;39441;1;1;0;Auto-moto > Ostatné;ostatne-17;0;0;1
46197;39441;1;1;1;Auto-moto > Štartovacie káble;startovacie-kable-2;51;51;0
46233;39441;1;0;1;Auto-moto > Videorekordéry;videorekordery;0;0;1
46530;39441;1;1;1;Auto-moto > Diagnostické nástroje;diagnosticke-nastroje;46;46;0
46548;39441;1;1;1;Auto-moto > Káble a nabíjačky pre elektromobily;kable-a-nabijacky-pre-elektromobily;10;10;0
46596;39441;1;1;1;Auto-moto > Nabíjačky do auta;nabijacky-do-auta-2;0;0;1
46677;39441;1;0;1;Auto-moto > Umývanie a čistenie;umyvanie-a-cistenie;0;0;1
46815;39441;1;1;1;Auto-moto > Monitory automobilov;monitory-automobilov;0;0;1
47736;39441;1;0;1;Auto-moto > Autopríslušenstvo;autoprislusenstvo;2;12;0
39447;39444;2;1;1;Auto-moto > Autorádiá > Autorádiá s USB;autoradia-s-usb;15;15;0
40023;39444;2;1;1;Auto-moto > Autorádiá > Autorádiá s CD;autoradia-s-cd;0;0;1
40086;39444;2;1;0;Auto-moto > Autorádiá > Subwoofery do autá;subwoofery-do-auta;0;0;1
40140;39444;2;1;1;Auto-moto > Autorádiá > Reproduktory do autá;reproduktory-do-auta;62;62;0
40755;39444;2;1;1;Auto-moto > Autorádiá > Príslušenstvo do autá;prislusenstvo-do-auta;0;0;1
40902;39444;2;1;1;Auto-moto > Autorádiá > Autorádiá s DVD;autoradia-s-dvd;0;0;1
39486;39483;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Vrecká do vysávačov;vrecka-do-vysavacov;77;77;0
39513;39483;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo k vysávačom;prislusenstvo-k-vysavacom;51;51;0
39609;39483;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo ku kávovarom;prislusenstvo-ku-kavovarom;26;26;0
39618;39483;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Filtre do vysávačov;filtre-do-vysavacov;24;24;0
39732;39483;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo k žehlenie;prislusenstvo-k-zehlenie;13;13;0
39786;39483;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo ku grilom;prislusenstvo-ku-grilom;0;0;1
39831;39483;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo ku kuchynským robotom;prislusenstvo-ku-kuchynskym-robotom;8;8;0
