depth;full_path;url
3;Akcie > Vybrali sme pre vás > Dotykové notebooky;https://www.planeo.sk/dotykove-notebooky
3;Akcie > Vybrali sme pre vás > Gitary;https://www.planeo.sk/gitary
3;Akcie > Vybrali sme pre vás > LEGO ® novinky;https://www.planeo.sk/lego-novinky
3;Akcie > Vybrali sme pre vás > Laser TV;https://www.planeo.sk/laser-tv
3;Akcie > Vybrali sme pre vás > Outdoor kamery;https://www.planeo.sk/outdoor-kamery
3;Akcie > Vybrali sme pre vás > Sencor Home;https://www.planeo.sk/sencor-home
3;Akcie > Vybrali sme pre vás > Smart prstene;https://www.planeo.sk/smart-prstene
3;Akcie > Vybrali sme pre vás > Stoličky k PC;https://www.planeo.sk/stolicky-k-pocitacu
3;Akcie > Vybrali sme pre vás > Termofľaša Fizz & Go;https://www.planeo.sk/termoflasa-fizz-go
3;Akcie > Vybrali sme pre vás > Virtuálna realita;https://www.planeo.sk/virtualna-realita
3;Akcie > Vybrali sme pre vás > Xiaomi novinky;https://www.planeo.sk/xiaomi-novinky
2;Akcie > Výpredaj;https://www.planeo.sk/vypredaj-elektro
3;Akcie > Výpredaj > Príslušenstvo a ostatné produkty vo výpredaji;https://www.planeo.sk/vypredaj-prislusenstvo-a-ostatne
3;Akcie > Výpredaj > Výpredaj Elektrické kolobežky;https://www.planeo.sk/elektricke-kolobezky-vypredaj-akcie-zlavy
3;Akcie > Výpredaj > Výpredaj dielňa a záhrada;https://www.planeo.sk/vypredajova-ponuka-dom-dielna-zahrada
3;Akcie > Výpredaj > Výpredaj domáce potreby;https://www.planeo.sk/vypredaj-domace-potreby
3;Akcie > Výpredaj > Výpredaj hračky;https://www.planeo.sk/vypredajova%20-%20ponuka%20-%20hracky
3;Akcie > Výpredaj > Výpredaj tablety, notebooky;https://www.planeo.sk/vypredajova-ponuka-it
3;Akcie > Výpredaj > Výpredajová ponuka TV, Audio - video;https://www.planeo.sk/vypredajova-ponuka-tv-av
3;Akcie > Výpredaj > Výpredajová ponuka malých domácich spotrebičov;https://www.planeo.sk/vypredajova-ponuka-malych-domacich-spotrebicov
3;Akcie > Výpredaj > Výpredajová ponuka mobily, smart hodinky;https://www.planeo.sk/vypredajova-ponuka-gsm
3;Akcie > Výpredaj > Výpredajová ponuka veľkej bielej techniky;https://www.planeo.sk/vypredajova-ponuka-velkej-bielej-techniky
2;Akcie > Záruka vrátenia peňazí;https://www.planeo.sk/zaruka-vratenia-penazi
3;Akcie > Záruka vrátenia peňazí > Benefity a záruky Philips;https://www.planeo.sk/benefity-a-zaruky-philips
3;Akcie > Záruka vrátenia peňazí > Benefity a záruky Sencor;https://www.planeo.sk/benefity-a-zaruky-sencor
3;Akcie > Záruka vrátenia peňazí > Braun 60 dní záruka vrátenia peňazí;https://www.planeo.sk/braun-60-dni-zaruka-vratenia-penazi
3;Akcie > Záruka vrátenia peňazí > Brita recyklácia - získaj zľavu 0,60€;https://www.planeo.sk/brita-recyklacia
2;Akcie > Zľavové akcie;https://www.planeo.sk/zlavove-akcie
3;Akcie > Zľavové akcie > AEG/Electrolux TOP Ceny;https://www.planeo.sk/tyzden-so-znackou-aeg-a-electrolux
