Segment,Kategória,Názov produktu,ID Produktu,Výrobca,EAN,Item ID,Vaša URL,Heureka URL,E-shopov predávajúcich produkt,Popularita,Vaša cena,Vaša pozícia podľa ceny,Vaša pozícia podľa biddingu,Cena za preklik,Najnižšia cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Najvyššia cena
"Auto-moto","Autorádiá","Ottocast Wireless adapter, Ottocast, CP82, U2-AIR PRO Carplay (black)",719161108,"Ottocast",5906168433887,"064292","https://www.premiumstore.sk/wireless-adapter--ottocast--cp82--u2-air-pro-carplay--black-/","https://autoradia.heureka.sk/ottocast-cp82-u2-air-pro",3,62,47.90,1,1.5,0.244,47.90,53.84,64.50,,,,,,,,,,,,,,,47.90,53.84,64.50,
"Auto-moto","Autorádiá","Televízny adaptér do auta MAX Ottocast CA361-C4",744722725,"Ottocast",5907085522586,"073151","https://www.premiumstore.sk/televizny-adapter-do-auta-max-ottocast-ca361-c4/","https://autoradia.heureka.sk/ottocast-ca361-c4",4,41,47.00,2,1.5,0.244,46.24,47.00,52.17,59.90,,,,,,,,,,,,,46.24,47.00,52.17,59.90,
"Auto-moto","Brzdové a spojkové hadice","Xtrobb 25242 Súprava na odvzdušnenie bŕzd bicykla, univerzálna",852224617,"Xtrobb",5904665714607,"AT_ITR-00018066","https://www.premiumstore.sk/sada-na-odvzdusnovani-brzd-xtrobb-25242/","https://brzdove-a-spojkove-hadice.heureka.sk/xtrobb-25242-suprava-na-odvzdusnenie-brzd-bicykla-univerzalna_18",1,1,12.00,1,,0.074,12.00,,,,,,,,,,,,,,,,,,,12.00,
"Auto-moto","FM transmittery","FM Transmitter Baseus S-09 Pro, Bluetooth (čierny)",662738518,"baseus",6932172643355,"054589","https://www.premiumstore.sk/fm-transmitter-baseus-s-09-pro--bluetooth--cierny-/","https://fm-transmittery.heureka.sk/baseus-s-09",3,5,10.90,1,,0.091,10.90,11.53,18.89,,,,,,,,,,,,,,,10.90,11.53,18.89,
"Auto-moto","FM transmittery","Ottocast Play2Video Plus Carplay/Android Auto bezdrôtový adaptér",817338350,"Ottocast",5905156100008,"081072","https://www.premiumstore.sk/ottocast-play2video-plus-carplay-android-auto-bezdrotovy-adapter/","https://fm-transmittery.heureka.sk/ottocast-ca515-t",4,41,61.50,1,,0.187,61.50,69.92,74.50,83.59,,,,,,,,,,,,,61.50,69.92,74.50,83.59,
"Auto-moto","Interkomy na motorku","EJEAS E1PRO Bluetooth Helmet Mounted Headphone",742188224,"EJEAS",5907085520919,"072034","https://www.premiumstore.sk/ejeas-e1pro-bluetooth-helmet-mounted-headphone/","https://interkomy-na-motorky.heureka.sk/ejeas-e1pro",6,62,22.50,1,2.0,0.172,22.50,23.92,24.10,27.50,31.99,35.46,,,,,,,,,22.50,23.92,24.10,27.50,31.99,35.46,
"Auto-moto","Interkomy na motorku","EJEAS Q7 motorcycle intercom",707659041,"EJEAS",5906168433986,"064411","https://www.premiumstore.sk/ejeas-q7-motorcycle-intercom/","https://interkomy-na-motorky.heureka.sk/ejeas-q7",7,75,44.00,1,1.0,0.244,44.00,46.20,46.75,53.75,54.01,54.50,58.38,,,,,,,44.00,46.20,46.75,53.75,54.01,54.50,58.38,
"Auto-moto","Interkomy na motorku","Midland BTR1 Advanced, Single",702289554,"Midland",8011869205101,"KB_100002102887","https://www.premiumstore.sk/midland-btr1-advanced--single/","https://interkomy-na-motorky.heureka.sk/midland-bt-r1",2,1,188.00,1,1.5,0.308,188.00,188.00,,,,,,,,,,,,,,,,,188.00,188.00,
"Auto-moto","Interkomy na motorku","Motorcycle Intercom EJEAS MS20",720759771,"EJEAS",5906168436048,"066486","https://www.premiumstore.sk/motorcycle-intercom-ejeas-ms20/","https://interkomy-na-motorky.heureka.sk/ejeas-ms20",6,6,118.90,1,1.5,0.305,118.90,124.83,125.96,147.01,149.00,171.81,,,,,,,,,118.90,124.83,125.96,147.01,149.00,171.81,
"Auto-moto","Interkomy na motorku","Motorcycle Intercom EJEAS MS8-SE",720759769,"EJEAS",5906168436093,"066499","https://www.premiumstore.sk/motorcycle-intercom-ejeas-ms8-se/","https://interkomy-na-motorky.heureka.sk/ejeas-ms8-se",6,53,85.00,1,1.5,0.289,85.00,85.61,88.25,102.69,103.19,107.00,,,,,,,,,85.00,85.61,88.25,102.69,103.19,107.00,
"Auto-moto","Kamery do auta","DDPAI N1 Dual Dash cam WiFi 1296p + Rear camera 1080p",662381253,"DDPAI",6934915204007,"054350","https://www.premiumstore.sk/ddpai-n1-dual-dash-cam-wifi-1296p-rear-camera-1080p/","https://cierne-skrinky.heureka.sk/ddpai-n1-dual",5,3,67.50,2,5.0,0.195,66.99,67.50,72.96,76.00,84.50,,,,,,,,,,,66.99,67.50,72.96,76.00,84.50,
"Auto-moto","Kamery do auta","DDPAI N5 Pro – palubná kamera",781123112,"DDPAI",6934915208166,"093882","https://www.premiumstore.sk/ddpai-n5-pro---palubna-kamera/","https://cierne-skrinky.heureka.sk/ddpai-n5",2,1,122.50,1,5.0,0.224,122.50,157.00,,,,,,,,,,,,,,,,,122.50,157.00,
"Auto-moto","Kamery do auta","DDPAI Ranger Dash cam GPS WiFi 4K Motorbike",733380195,"DDPAI",6934915203697,"061996","https://www.premiumstore.sk/ddpai-ranger-dash-cam-gps-wifi-4k-motorbike/","https://cierne-skrinky.heureka.sk/ddpai-ranger",3,1,184.50,1,5.0,0.224,184.50,196.46,237.00,,,,,,,,,,,,,,,184.50,196.46,237.00,
"Auto-moto","Kamery do auta","IMOU Dash Cam S800 PRO",781125788,"IMOU",6939554951343,"087816","https://www.premiumstore.sk/imou-s800-pro-palubna-kamera--4k/","https://cierne-skrinky.heureka.sk/imou-dash-cam-s800-pro",4,4,107.50,2,5.0,0.213,105.71,107.50,114.00,127.00,,,,,,,,,,,,,105.71,107.50,114.00,127.00,
"Auto-moto","Kamery do auta","Niceboy PILOT Q2 WiFi",483513357,"Niceboy",8594182425161,"KB_100001392601","https://www.premiumstore.sk/niceboy-pilot-q2-wifi/","https://cierne-skrinky.heureka.sk/niceboy-pilot-q2-wifi",15,82,44.50,4,5.0,0.172,34.30,38.90,40.34,44.50,45.30,45.40,45.80,46.00,46.71,48.49,45.40,45.80,46.00,46.71,48.49,48.99,49.06,50.19,58.43,98.40,
