Segment,Kategória,Názov produktu,ID Produktu,Výrobca,EAN,Item ID,Vaša URL,Heureka URL,E-shopov predávajúcich produkt,Popularita,Vaša cena,Vaša pozícia podľa ceny,Vaša pozícia podľa biddingu,Cena za preklik,Najnižšia cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Najvyššia cena
"Auto-moto","Autonavijaky","Nástenná nabíjačka Besen SQ20-7KW-APP pre elektromobily",849865234,"BESEN",5907085525341,"077445","https://www.premiumstore.sk/nastenna-nabijacka-besen-sq20-7kw-app-pre-elektromobily/","https://autonavijaky.heureka.sk/nastenna-nabijacka-besen-sq20-7kw-app-pre-elektromobily",1,1,283.00,1,,0.338,283.00,,,,,,,,,,,,,,,,,,,283.00,
"Auto-moto","Autonavijaky","Nástenná nabíjačka do auta Besen BS20 s výkonom 22 kW",849865230,"BESEN",5906168438776,"069529","https://www.premiumstore.sk/nastenna-nabijacka-do-auta-besen-bs20-s-vykonom-22-kw/","https://autonavijaky.heureka.sk/nastenna-nabijacka-do-auta-besen-bs20-s-vykonom-22-kw",1,1,357.50,1,,0.374,357.50,,,,,,,,,,,,,,,,,,,357.50,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit AIR X1 Carplay/Android Auto",755390254,"Carlinkit",6972185560744,"073935","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-air-x1-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-air-x1",5,4,36.50,2,1.5,0.216,22.89,36.50,42.79,45.90,48.93,,,,,,,,,,,22.89,36.50,42.79,45.90,48.93,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit AIR X2 Carplay/Android Auto",755390253,"Carlinkit",6972185560751,"073936","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-air-x2-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-air-x2",3,5,32.50,1,1.5,0.216,32.50,41.50,61.95,,,,,,,,,,,,,,,32.50,41.50,61.95,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit CCPA Apple Carplay/Android Auto (čierny)",731107213,"Carlinkit",6972185560119,"055287","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-ccpa-apple-carplay-android-auto--cierny/","https://autoradia.heureka.sk/carlinkit-cpc200-ccpa",5,90,37.00,1,1.5,0.216,37.00,37.49,38.85,40.58,47.90,,,,,,,,,,,37.00,37.49,38.85,40.58,47.90,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Carlinkit TBOX-S2P Carplay&Android auto",786677781,"Carlinkit",6972185560904,"078249","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-tbox-s2p-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-tbox-s2p",4,41,120.50,3,1.5,0.305,88.21,119.48,120.50,157.00,,,,,,,,,,,,,88.21,119.48,120.50,157.00,
"Auto-moto","Autorádiá","Bezdrôtový adaptér do auta Ottocast OttoAibox E2 CarPlay/Android",829143977,"Ottocast",5905156101074,"082445","https://www.premiumstore.sk/bezdrotovy-adapter-do-auta-ottocast-ottoaibox-e2-carplay-android/","https://autoradia.heureka.sk/ottocast-ottoaibox-e2",4,41,145.50,2,1.5,0.305,138.34,145.50,174.46,189.00,,,,,,,,,,,,,138.34,145.50,174.46,189.00,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Ottocast CA505-T MINI 2 v 1",764487898,"Ottocast",5907085526515,"077960","https://www.premiumstore.sk/bezdrotovy-adapter-ottocast-ca505-t-mini-2-v-1/","https://autoradia.heureka.sk/ottocast-ca505-t",4,5,26.00,1,1.5,0.190,26.00,31.04,32.90,33.19,,,,,,,,,,,,,26.00,31.04,32.90,33.19,
"Auto-moto","Autorádiá","Bezdrôtový adaptér Ottocast PCS50 a AI asistent OTTOAIBOX NANO",819666730,"Ottocast",5907085526508,"077959","https://www.premiumstore.sk/bezdrotovy-adapter-ottocast-pcs50-a-ai-asistent-ottoaibox-nano/","https://autoradia.heureka.sk/ottocast-pcs50-nanoai",3,3,209.50,2,1.5,0.320,207.93,209.50,267.00,,,,,,,,,,,,,,,207.93,209.50,267.00,
"Auto-moto","Autorádiá","Carlinkit 2Air-T",825385634,"Carlinkit",6972185561109,"088003","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-2air-t-pre-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-2air-t",4,62,25.50,1,1.5,0.190,25.50,26.46,31.04,32.90,,,,,,,,,,,,,25.50,26.46,31.04,32.90,
"Auto-moto","Autorádiá","Carlinkit CP2A-PRO",841154302,"Carlinkit",6972185561079,"088004","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-cp2a-pro-pre-carplay-android-auto/","https://autoradia.heureka.sk/carlinkit-cp2a-pro",2,41,43.00,1,1.0,0.244,43.00,54.50,,,,,,,,,,,,,,,,,43.00,54.50,
"Auto-moto","Autorádiá","CarlinKit CPC200 Tbox Ambient",745181824,"Carlinkit",6972185560454,"061188","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-tbox-plus-4-64-gb/","https://autoradia.heureka.sk/carlinkit-cpc200-tbox",9,58,129.00,1,2.0,0.305,129.00,135.70,138.90,143.80,157.00,164.79,171.55,183.90,184.44,,,129.00,135.70,138.90,143.80,157.00,164.79,171.55,183.90,184.44,
"Auto-moto","Autorádiá","Carlinkit CPC200-2Air",696195215,"Carlinkit",6972185560430,"053547","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-2air/","https://autoradia.heureka.sk/carlinkit-cpc200-2air",16,105,32.50,1,1.5,0.216,32.50,32.79,33.49,34.40,35.49,35.90,36.31,38.13,38.49,39.00,36.31,38.13,38.49,39.00,39.48,42.50,43.14,44.97,49.90,82.62,
"Auto-moto","Autorádiá","CarLinkit CPC200-CP2A",706405845,"Carlinkit",6972185560126,"053904","https://www.premiumstore.sk/bezdrotovy-adapter-carlinkit-cp2a/","https://autoradia.heureka.sk/carlinkit-cpc200-cp2a",6,62,27.00,1,1.5,0.190,27.00,27.10,31.17,35.90,43.99,48.80,,,,,,,,,27.00,27.10,31.17,35.90,43.99,48.80,
