ean;stara_url;stary_nazov;novy_dodavatel;novy_nazov;nova_url;stav
8592718026325;https://premiumstore.sk/solight-predlzovaci-privod-na-bubne-1-zasuvka-vonkajsi-25m-gumovy-kabel-3x-1-5mm2-ip44#21449;Solight predlžovací prívod na bubne, 1 zásuvka, vonkajší, 25m gumový kábel, 3x 1,5mm2, IP44;solight;Solight predlžovací prívod na bubne, 1 zásuvka, vonkajší, 25m gumový kábel, 3x 1,5mm2, IP44;https://www.premiumstore.sk/solight-predlzovaci-privod-na-bubne--1-zasuvka--vonkajsi--25m-gumovy-kabel--3x-1-5mm2--ip44/;OK
8592718026660;https://premiumstore.sk/solight-led-celove-cob-svietidlo-3w-modra-3x-aaa#21448;Solight LED čelové COB svietidlo, 3W, modrá, 3x AAA;solight;Solight LED čelové COB svietidlo, 3W, modrá, 3x AAA;https://www.premiumstore.sk/solight-led-celove-cob-svietidlo--3w--modra--3x-aaa/;OK
8592718026318;https://premiumstore.sk/solight-cestovny-adapter-europe-pre-cudzincov-v-sr-typ-e-f#21447;Solight cestovný adaptér Europe pre cudzincov v SR, typ E/F;solight;Solight cestovný adaptér Europe pre cudzincov v SR, typ E/F;https://www.premiumstore.sk/solight-cestovny-adapter-europe-pre-cudzincov-v-sr--typ-e-f/;OK
8592718001957;https://premiumstore.sk/solight-2x-bezdrotovy-zvoncek-do-zasuvky-120m-biely#21446;Solight 2x bezdrôtový zvonček, do zásuvky, 120m, biely;solight;Solight 2x bezdrôtový zvonček, do zásuvky, 120m, biely;https://www.premiumstore.sk/solight-2x-bezdrotovy-zvoncek--do-zasuvky--120m--biely/;OK
8592718016272;https://premiumstore.sk/solight-led-ziarovka-miniglobe-6w-e14-3000k-510lm-biele-prevedenie#21443;Solight LED žiarovka, miniglobe, 6W, E14, 3000K, 510lm, biele prevedenie;solight;Solight LED žiarovka, miniglobe, 6W, E14, 3000K, 510lm, biele prevedenie;https://www.premiumstore.sk/solight-led-ziarovka--miniglobe--6w--e14--3000k--510lm--biele-prevedenie/;OK
8592718027292;https://premiumstore.sk/solight-dreveny-snehuliak-4x-led-2x-aa#21441;Solight drevený snehuliak, 4x LED, 2x AA;solight;Solight drevený snehuliak, 4x LED, 2x AA;https://www.premiumstore.sk/solight-dreveny-snehuliak--4x-led--2x-aa/;OK
8592718027285;https://premiumstore.sk/solight-drevena-lampas-s-led-svieckou-3x-aaa#21438;Solight drevená lampáš s LED sviečkou, 3x AAA;solight;Solight drevená lampáš s LED sviečkou, 3x AAA;https://www.premiumstore.sk/solight-drevena-lampas-s-led-svieckou--3x-aaa/;OK
8592718024628;https://premiumstore.sk/solight-led-podhladove-svietidlo-bodove-9w-720lm-3000k-okruhle-biele#21436;Solight LED podhľadové svietidlo bodové, 9W, 720lm, 3000K, okrúhle, biele;solight;Solight LED podhľadové svietidlo bodové, 9W, 720lm, 3000K, okrúhle, biele;https://www.premiumstore.sk/solight-led-podhladove-svietidlo-bodove--9w--720lm--3000k--okruhle--biele/;OK
8592718026752;https://premiumstore.sk/solight-led-stropne-svetlo-stvorcove-treviso-48w-2880lm-stmievatelne-dialkove-ovladanie-siva#21435;Solight LED stropné svetlo štvorcové Treviso, 48W, 2880lm, stmievateľné, diaľkové ovládanie, sivá;solight;Solight LED stropné svetlo štvorcové Treviso, 48W, 2880lm, stmievateľné, diaľkové ovládanie, sivá;https://www.premiumstore.sk/solight-led-stropne-svetlo-stvorcove-treviso--48w--2880lm--stmievatelne--dialkove-ovladanie--siva/;OK
8592718014933;https://premiumstore.sk/solight-led-ziarovka-sviecka-6w-e14-3000k-510lm#21432;Solight LED žiarovka, sviečka, 6W, E14, 3000K, 510lm;solight;Solight LED žiarovka, sviečka, 6W, E14, 3000K, 510lm;https://www.premiumstore.sk/solight-led-ziarovka--sviecka--6w--e14--3000k--510lm/;OK
