old_url;new_url;match_type;old_full_path;new_full_path;old_id
/prislusenstvo-ku-kavovarom/;/prislusenstvo-k-malym-spotrebicom/;exact;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo ku kávovarom;Domáce spotrebiče > Príslušenstvo k malým spotrebičom;39609
/filtre-do-vysavacov/;/prislusenstvo-k-malym-spotrebicom/;exact;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Filtre do vysávačov;Domáce spotrebiče > Príslušenstvo k malým spotrebičom;39618
/prislusenstvo-k-zehlenie/;/prislusenstvo-k-malym-spotrebicom/;exact;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo k žehlenie;Domáce spotrebiče > Príslušenstvo k malým spotrebičom;39732
/prislusenstvo-ku-grilom/;/prislusenstvo-k-malym-spotrebicom/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo ku grilom;Domáce spotrebiče > Príslušenstvo k malým spotrebičom;39786
/prislusenstvo-ku-kuchynskym-robotom/;/prislusenstvo-k-malym-spotrebicom/;exact;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo ku kuchynským robotom;Domáce spotrebiče > Príslušenstvo k malým spotrebičom;39831
/vone-do-vysavace/;/prislusenstvo-k-malym-spotrebicom/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Vône do vysávače;Domáce spotrebiče > Príslušenstvo k malým spotrebičom;39870
/prislusenstvo-ku-vzduchotechnike/;/prislusenstvo-k-malym-spotrebicom/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo ku vzduchotechnike;Domáce spotrebiče > Príslušenstvo k malým spotrebičom;40875
/kavove-kapsle/;/kavovary-a-espressa/;exact;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Kávové kapsle;Domáce spotrebiče > Kávovary a espressá;39492
/mlynceky-na-kavu/;/kavovary-a-espressa/;exact;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Mlynčeky na kávu;Domáce spotrebiče > Kávovary a espressá;39675
/automaticka-espressa/;/kavovary-a-espressa/;exact;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Automatická espressá;Domáce spotrebiče > Kávovary a espressá;39729
