"code";"pairCode";"name";"guid";"externalId";"ean";"productNumber";"serialNumber";"defaultCategory";"categoryText";"categoryText2";"categoryText3";"categoryText4";"categoryText5";"categoryText6";"categoryText7";"categoryText8";"categoryText9";"categoryText10";"xmlFeedName";""
"SOL_WM-150-S";"";"Solight stojan teleskopický pre LED reflektory, 60-150cm, pre 1-2 reflektory, oranžová farba";"fae8f840-92d5-11f1-aad3-bc24110eff41";"";"8592718025151";"";"";"Elektroinštalačný materiál > Osvetlenie > LED reflektory > Reflektory so stojanom";"Elektroinštalačný materiál > Osvetlenie > LED reflektory > Reflektory so stojanom";"";"";"";"";"";"";"";"";"";"Solight WM-150-S";""
"SOL_PB21B";"";"Solight predlžovací prívod na bubne, 4 zásuvky, 10m, čierny kábel, 3x 1.0mm2";"fb4f1314-92d5-11f1-b511-bc24110eff41";"";"8592718022532";"";"";"Elektroinštalačný materiál > Predlžovacie káble a zásuvky > Navíjacie bubny";"Elektroinštalačný materiál > Predlžovacie káble a zásuvky > Navíjacie bubny";"";"";"";"";"";"";"";"";"";"Solight PB21";""
"SOL_PA20";"";"Solight cestovný adaptér, univerzálny, uzemnený";"fb6a4d64-92d5-11f1-886f-bc24110eff41";"";"8592718011123";"";"";"Elektroinštalačný materiál > Cestovné adaptéry";"Elektroinštalačný materiál > Cestovné adaptéry";"";"";"";"";"";"";"";"";"";"Solight PA20";""
"SOL_PA01-USA";"";"Solight cestovný adaptér do Spojených štátov, typ B";"fb97e224-92d5-11f1-9e99-bc24110eff41";"";"8592718022402";"";"";"Elektroinštalačný materiál > Cestovné adaptéry";"Elektroinštalačný materiál > Cestovné adaptéry";"";"";"";"";"";"";"";"";"";"Solight PA01-USA";""
"SOL_WM-100W-L";"";"Solight LED reflektor PRO, 100W, 9200lm, 5000K, IP65";"fc6cc7f0-92d5-11f1-bba8-bc24110eff41";"";"8592718025717";"";"";"Elektroinštalačný materiál > Osvetlenie > LED reflektory > Reflektory bez senzora";"Elektroinštalačný materiál > Osvetlenie > LED reflektory > Reflektory bez senzora";"";"";"";"";"";"";"";"";"";"Solight Pro WM-100W-L";""
"SOL_PB33";"";"Solight predlžovací prívod - na bubne, 4 zásuvky, 25m kábel guma, 3x 1,5mm2, IP44";"fc778cbc-92d5-11f1-aa3f-bc24110eff41";"";"8595092129385";"";"";"Elektroinštalačný materiál > Predlžovacie káble a zásuvky > Navíjacie bubny";"Elektroinštalačný materiál > Predlžovacie káble a zásuvky > Navíjacie bubny";"";"";"";"";"";"";"";"";"";"Solight PB 33";""
"SOL_WN900";"";"Solight náhradný akumulátor typ 18650, 3,7V, Li-Ion, 2200mAh";"fc84a9ec-92d5-11f1-b0c9-bc24110eff41";"";"8592718017101";"";"";"Elektroinštalačný materiál > Osvetlenie > Svietidlá > Nabíjacie";"Elektroinštalačný materiál > Osvetlenie > Svietidlá > Nabíjacie";"";"";"";"";"";"";"";"";"";"SOLIGHT WN900 3,7V, Li-Ion, 2200mAh";""
"SOL_WM504";"";"Solight LED RGB pásik pre TV, 2 x 50cm, USB, vypínač, diaľkový ovládač";"fc9ab228-92d5-11f1-ab04-bc24110eff41";"";"8592718020712";"";"";"Elektroinštalačný materiál > Osvetlenie > LED pásky > LED pásiky";"Elektroinštalačný materiál > Osvetlenie > LED pásky > LED pásiky";"";"";"";"";"";"";"";"";"";"Solight pre TV RGB WM504 2x50cm";""
"SOL_DY12";"";"Solight diaľkovo ovládané vonkajšie zásuvky set 2 + 1, 2 zásuvky, 1 ovládač, learning code";"fca59b48-92d5-11f1-8119-bc24110eff41";"";"8592718023386";"";"";"Bezpečnosť a smart domácnosť > Smart domácnosť";"Bezpečnosť a smart domácnosť > Smart domácnosť";"";"";"";"";"";"";"";"";"";"Solight DY12";""
"SOL_WPH-240W-002";"";"Solight high bay, 240W, 33600lm, 120°, Philips, MW, 5000K, UGR";"fcc0d020-92d5-11f1-bbc5-bc24110eff41";"";"8592718025922";"";"";"Elektroinštalačný materiál > Osvetlenie > Priemyselné LED osvetlenie > High Bay";"Elektroinštalačný materiál > Osvetlenie > Priemyselné LED osvetlenie > High Bay";"";"";"";"";"";"";"";"";"";"Solight high bay, 240W, 33600lm, 120°, Philips, MW, 5000K, UGR";""
"SOL_DA32";"";"Solight univerzálny zdroj pre netbooky a notebooky, 48W, 7 koncoviek, automatický";"fd01acd0-92d5-11f1-8bd4-bc24110eff41";"";"8592718001612";"";"";"Fotovoltaika a energie > Napájacie zdroje > Nabíjačky notebookov";"Fotovoltaika a energie > Napájacie zdroje > Nabíjačky notebookov";"";"";"";"";"";"";"";"";"";"Solight 48W DA32 - neoriginálny";""
"SOL_WT123";"";"Solight LED žiarivka lineárna PRO+, T8, 22W, 3080lm, 4000K, 150cm, Alu + PC";"fd288058-92d5-11f1-86f4-bc24110eff41";"";"8592718024178";"";"";"Elektroinštalačný materiál > Osvetlenie > LED trubicové žiarivky";"Elektroinštalačný materiál > Osvetlenie > LED trubicové žiarivky";"";"";"";"";"";"";"";"";"";"Solight LED žiarivka PRO+, T8, 22W, 3080lm, 4000K, 150cm, Alu+PC";""
"SOL_WM501";"";"Solight LED pásik pre TV, 100cm, USB, vypínač, studená biela";"fd4b444e-92d5-11f1-a546-bc24110eff41";"";"8592718017965";"";"";"Elektroinštalačný materiál > Osvetlenie > LED pásky > LED pásiky";"Elektroinštalačný materiál > Osvetlenie > LED pásky > LED pásiky";"";"";"";"";"";"";"";"";"";"Solight 8592718017965";""
"SOL_WPIR01";"";"Solight PIR interiérový senzor, do krabičky od vypínačov, funkcia zapnutia-vypnutia senzoru, biely";"fd6c747a-92d5-11f1-bcce-bc24110eff41";"";"8592718010492";"";"";"Elektroinštalačný materiál > Osvetlenie > Senzory a konektory";"Elektroinštalačný materiál > Osvetlenie > Senzory a konektory";"";"";"";"";"";"";"";"";"";"Solight WPIR01";""
"SOL_P50";"";"Solight zástrčka uhlová, nízky profil od steny, IP20, biela";"fd7c1d08-92d5-11f1-8608-bc24110eff41";"";"8592718013868";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Koncovky";"Elektroinštalačný materiál > Ostatné > 230V > Koncovky";"";"";"";"";"";"";"";"";"";"Solight P50";""
"SOL_WL17";"";"Solight LED kovové svietidlo malé, 50lm, 1W LED, čierna, 1 x AA";"fdba9b96-92d5-11f1-a5b8-bc24110eff41";"";"8592718012908";"";"";"Elektroinštalačný materiál > Osvetlenie > Svietidlá > Nenabíjacie";"Elektroinštalačný materiál > Osvetlenie > Svietidlá > Nenabíjacie";"";"";"";"";"";"";"";"";"";"Solight WL17";""
"SOL_P50B";"";"Solight zástrčka uhlová, nízky profil od steny, IP20, čierna";"fdd2f52e-92d5-11f1-a93d-bc24110eff41";"";"8592718013875";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Koncovky";"Elektroinštalačný materiál > Ostatné > 230V > Koncovky";"";"";"";"";"";"";"";"";"";"Solight P50 B";""
"SOL_WM89";"";"Solight prepojovací konektor pre RGB LED pásy, zacvakávacie, balenie 1ks, sáčok";"fde3695e-92d5-11f1-91f8-bc24110eff41";"";"8592718028992";"";"";"Elektroinštalačný materiál > Osvetlenie > LED pásky > Príslušenstvo";"Elektroinštalačný materiál > Osvetlenie > LED pásky > Príslušenstvo";"";"";"";"";"";"";"";"";"";"LedStar KONPREPRIRGB";""
"SOL_GL05-100";"";"Solight dezinfekčná UV lampa 100W";"fe2f82d0-92d5-11f1-b04f-bc24110eff41";"";"8592718029333";"";"";"Domáce spotrebiče > Malé spotrebiče > Dezinfekčné lampy > Ozónové";"Domáce spotrebiče > Malé spotrebiče > Dezinfekčné lampy > Ozónové";"";"";"";"";"";"";"";"";"";"Solight GL05-100";""
"SOL_RNUB-BK100";"";"Solight kotúč brusný na oceľ 100 x 2,5 x 16 mm";"ff47b1e2-92d5-11f1-8227-bc24110eff41";"";"8592718032197";"";"";"Náradie a dielňa > Ručné AKU náradie > Príslušenstvo";"Náradie a dielňa > Ručné AKU náradie > Príslušenstvo";"";"";"";"";"";"";"";"";"";"Solight RNUB-BK100";""
"SOL_5B114";"";"Solight vypínač Slim č. 7 krížový, biely";"ff5cdaea-92d5-11f1-8901-bc24110eff41";"";"8592718026981";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Vypínače a zásuvky > Slim";"Elektroinštalačný materiál > Ostatné > 230V > Vypínače a zásuvky > Slim";"";"";"";"";"";"";"";"";"";"Solight 5B114";""
"SOL_WO781-W";"";"Solight LED vonkajšie osvetlenie Siena, biele, 20W, 1500lm, 4000K, IP54, 23cm";"ff7f459e-92d5-11f1-b597-bc24110eff41";"";"8592718029487";"";"";"Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Vonkajšie osvetlenie > Prisadené osvetlenie";"Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Vonkajšie osvetlenie > Prisadené osvetlenie";"";"";"";"";"";"";"";"";"";"Solight WO781-W";""
"SOL_WO903-1";"";"Solight montážne klipy na inštaláciu LED panelov 595x595 mm do podhľadov";"ff9fa7e4-92d5-11f1-a413-bc24110eff41";"";"8592718019594";"";"";"Elektroinštalačný materiál > Osvetlenie > LED panely a podhľadová svetla > Příslušenstvo";"Elektroinštalačný materiál > Osvetlenie > LED panely a podhľadová svetla > Příslušenstvo";"";"";"";"";"";"";"";"";"";"ARGUS CT-2115-W";""
"SOL_P104";"";"Solight rozbočovač, 2x 10A, biely-sivý";"ffabda0a-92d5-11f1-a369-bc24110eff41";"";"8592718026936";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"";"";"";"";"";"";"";"";"";"Solight P104";""
"SOL_WO746-W";"";"Solight LED vonkajšie osvetlenie Siena, biele, 13W, 910lm, 4000K, IP54, 17cm";"ffd7e2ee-92d5-11f1-b413-bc24110eff41";"";"8592718029180";"";"";"Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Vonkajšie osvetlenie > Prisadené osvetlenie";"Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Vonkajšie osvetlenie > Prisadené osvetlenie";"";"";"";"";"";"";"";"";"";"Solight WO746";""
"SOL_PA02";"";"Solight cestovný adaptér Europe pre cudzincov v SR, typ E/F";"ffed0b06-92d5-11f1-8a9b-bc24110eff41";"";"8592718026318";"";"";"Elektroinštalačný materiál > Cestovné adaptéry";"Elektroinštalačný materiál > Cestovné adaptéry";"";"";"";"";"";"";"";"";"";"Solight PA02";""
"SOL_WN33";"";"Solight LED nabíjacie svietidlo s cyklo držiakom, 400lm, zoom, Li-Ion";"001ef7ba-92d6-11f1-9a1d-bc24110eff41";"";"8592718026691";"";"";"Elektroinštalačný materiál > Osvetlenie > Svietidlá > Nabíjacie";"Elektroinštalačný materiál > Osvetlenie > Svietidlá > Nabíjacie";"";"";"";"";"";"";"";"";"";"Solight WN33";""
"SOL_AV02";"";"Solight axiálny ventilátor s časovačom";"002ed46e-92d6-11f1-9323-bc24110eff41";"";"8592718027445";"";"";"Domáce spotrebiče > Malé spotrebiče > Vybavenie domácnosti";"Domáce spotrebiče > Malé spotrebiče > Vybavenie domácnosti";"";"";"";"";"";"";"";"";"";"Solight AV02";""
