ean;stara_url;stary_nazov;stara_kategoria;najdena_kategoria;cesta_kategorie;nova_url_kategorie;skore;pocet_zhod;istota
A2857;https://premiumstore.sk/stahovaci-paska-450-7-6-mm-cerna-baleni-25-ks-emos-a2857#74439;Stahovací páska 450×7,6 mm, černá, balení 25 ks / EMOS A2857;;;;;0.00;0;ZIADNA
A2826;https://premiumstore.sk/prichytka-kabelova-10-mm-bila-baleni-50-ks-emos-a2826#74438;Příchytka kabelová 10 mm, bílá, balení 50 ks / EMOS A2826;;;;;0.00;0;ZIADNA
A2825;https://premiumstore.sk/prichytka-kabelova-10-mm-cerna-baleni-50-ks-emos-a2825#74437;Příchytka kabelová 10 mm, černá, balení 50 ks / EMOS A2825;;;;;0.00;0;ZIADNA
A2824;https://premiumstore.sk/prichytka-kabelova-8-mm-bila-baleni-50-ks-emos-a2824#74436;Příchytka kabelová 8 mm, bílá, balení 50 ks / EMOS A2824;;;;;0.00;0;ZIADNA
A2823;https://premiumstore.sk/prichytka-kabelova-8-mm-cerna-baleni-50-ks-emos-a2823#74435;Příchytka kabelová 8 mm, černá, balení 50 ks / EMOS A2823;;;;;0.00;0;ZIADNA
A2822;https://premiumstore.sk/prichytka-kabelova-6-mm-bila-baleni-50-ks-emos-a2822#74434;Příchytka kabelová 6 mm, bílá, balení 50 ks / EMOS A2822;;;;;0.00;0;ZIADNA
A2821;https://premiumstore.sk/prichytka-kabelova-6-mm-cerna-baleni-50-ks-emos-a2821#74433;Příchytka kabelová 6 mm, černá, balení 50 ks / EMOS A2821;;;;;0.00;0;ZIADNA
H4074;https://premiumstore.sk/kamera-emos-ip-1300-lantern-4074-gosmart-venkovni-otocna-s-wifi-a-svetlem-cerna#74426;Kamera EMOS IP-1300 LANTERN /4074/ GoSmart venkovní otočná s WiFi a světlem, černá;;WiFi routery;TV, audio a video > Počítače a príslušenstvo > Sieťové prvky > WiFi routery;wifi-routery;8.27;1;NIZKA
H4073;https://premiumstore.sk/kamera-emos-ip-1150-snap-h4073-gosmart-venkovni-bateriova-s-wi-fi-a-solarnim-panelem#74425;Kamera EMOS IP-1150 SNAP /H4073/ GoSmart venkovní bateriová s Wi-Fi a solárním panelem;;;;;0.00;0;ZIADNA
P3546;https://premiumstore.sk/celovka-emos-p3546-led-nabijeci-550-lm-110-m-li-pol-1000-mah-3-aaa#74407;Čelovka EMOS P3546 LED nabíjecí, 550 lm, 110 m, Li-Pol 1000 mAh / 3× AAA;;AAA mikrotužkové;Fotovoltaika a energie > Akumulátory a batérie > AAA mikrotužkové;aaa-mikrotuzkove;7.86;1;NIZKA
H8106;https://premiumstore.sk/alarm-s-pohybovym-cidlem-emos-em-125l-protector#74321;Alarm s pohybovým čidlem EMOS EM-125L PROTECTOR;;;;;0.00;0;ZIADNA
H5030;https://premiumstore.sk/alarm-gosmart-emos-ip-1256l-guardian-s-pohybovym-cidlem-6-dverni-okenni-senzor-wifi#74320;Alarm GoSmart EMOS IP-1256L GUARDIAN s pohybovým čidlem, 6× dveřní/okenní senzor, WiFi;;WiFi routery;TV, audio a video > Počítače a príslušenstvo > Sieťové prvky > WiFi routery;wifi-routery;8.27;1;NIZKA
P4724;https://premiumstore.sk/nabijeci-mini-led-svitilna-privesek-na-klice-emos-p4724-100-lm#74297;Nabíjecí mini LED svítilna – přívěšek na klíče EMOS P4724, 100 lm;;L-klíče;Náradie a dielňa > Mechanické náradie > Skrutkovače, bity, imbusy > L-klíče;l-klice;8.27;1;NIZKA
M0501N;https://premiumstore.sk/multidetektor-emos-m0501n-drevo-kov-el-vedeni#74234;Multidetektor EMOS M0501N (dřevo, kov, el.vedení);;Pílové kotúče na dřevo;Náradie a dielňa > Náradie pre brúsenie, vŕtanie, rezanie a pilovanie > Píly > Pílové kotúče na dřevo;pilove-kotuce-na-drevo;7.86;1;NIZKA
P01110;https://premiumstore.sk/prodluzovaci-kabel-emos-p01110-spojka-10-m-1-zasuvka-oranzovy-pvc-250-v-1-5-mm2#74231;Prodlužovací kabel EMOS P01110 spojka 10 m / 1 zásuvka / oranžový / PVC / 250 V / 1,5 mm2;;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
8494;https://premiumstore.sk/multifunkcni-hlidaci-napetove-rele-ac-dc-elko-hrn-31#74138;Elko Ep Multifunkční hlídací napěťové relé AC/DC - ELKO HRN-31;;Časová, doběhová relé;Elektroinštalačný materiál > Ventilačné technika > Príslušenstvo k ventilátorům > Časová, doběhová relé;casova--dobehova-rele;8.27;1;NIZKA
