"shopId","shopName","PRODUCT","PRODUCTNAME","ITEM_ID","URL","CATEGORYTEXT","PRICE_VAT","EAN","suggestEan","suggestProductName","suggestCategoryTree","suggestPriceMin","suggestPriceMax","suggestProductUrl"
"4603","Premiumstore.sk","Cp Plus CP-UNC-VB81ZL4-VMDS 4K (8.0 Mpix) venkovní IP antivandal dome kamera s IR, WDR, Starlight a mikrof.","","AT_CPP-CP-UNC-VB81ZL4C-VMDS","https://www.premiumstore.sk/cp-unc-vb81zl4-vmds-4k--8-0-mpix--venkovni-ip-antivandal-dome-kamera-s-ir--wdr--starlight-a-mikrof-/","Heureka.sk | Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","349.9","4250593449014","","","","","",""
"4603","Premiumstore.sk","Inteligentný mini spínač ZigBee SONOFF ZBMINIR2","","081370","https://www.premiumstore.sk/inteligentny-mini-spinac-zigbee-sonoff-zbminir2/","Bezpečnosť a smart domácnosť | Riadiace jednotky | Smart ovládače","10.9","6920075742916","6920075742916","SONOFF ZBMINI ZigBee Smart Switch","Elektronika | Inteligentná domácnosť | Ovládače a spínače pre inteligentnú domácnosť","11.39","14.9","ovladace-a-spinace-pre-inteligentnu-domacnost.heureka.sk/sonoff-zbmini-zigbee-smart-switch"
"4603","Premiumstore.sk","Monacor DN-200 3-pásmová frekvenčná výhybka pre 8 Ω","","MON_DN-200","https://www.premiumstore.sk/monacor-dn-200-3-pasmova-frekvencna-vyhybka-pre-8-/","Heureka.sk | Elektronika | TV, audio, video | Reproduktory, soundbary | Príslušenstvo k reproduktorom | Stojany a držiaky na reproduktory","147.5","4007754004489","","","","","",""
"4603","Premiumstore.sk","Sada 3 filtrov Sunnylife CPL + ND8 + ND16 pre MINI 5 Pro","","081540","https://www.premiumstore.sk/sada-3-filtrov-sunnylife-cpl-nd8-nd16-pre-mini-5-pro/","Heureka.sk | Elektronika | Foto, kamery, optika | Foto a kamery | Športové kamery","15.5","5905156100480","","","","","",""
"4603","Premiumstore.sk","TC Electronic V550 PREAMP, gitarový predzosilňovač","","BAS_BASYS-TC_0709-AJX86","https://www.premiumstore.sk/tc-electronic-v550-preamp--gitarovy-predzosilnovac/","Profesionálna audio technika | Hudobné nástroje a príslušenstvo | Gitarové príslušenstvo","159","","","","","","",""
"4603","Premiumstore.sk","Bose Pro BOSE DesignMax DM2C-LP nízkoprofilové inštalačné reproduktory, čierne","","BAS_BASYS-B_815011-0110","https://www.premiumstore.sk/bose-designmax-dm2c-lp-nizkoprofilove-instalacne-reproduktory--cierne/","Profesionálna audio technika | Plošné ozvučenie (100V rozhlasové ozvučenie)","380","","","","","","",""
"4603","Premiumstore.sk","Cp Plus CP-PR-97 Uzamykatelná skříňka pro velké DVR / NVR rekordéry","","AT_CPP-CP-PR-97","https://www.premiumstore.sk/cp-pr-97-uzamykatelna-skrinka-pro-velke-dvr-nvr-rekordery/","Bezpečnosť a smart domácnosť | Kamerové systémy | PRÍSLUŠENSTVO | Montážne skrine a racky","123.5","5906881447994","","","","","",""
"4603","Premiumstore.sk","Klávesnica pre bezpečnostný systém X-Sense SKP0A","","077354","https://www.premiumstore.sk/klavesnica-pre-bezpecnostny-system-x-sense-skp0a/","Heureka.sk | Elektronika | Inteligentná domácnosť | Ovládače a spínače pre inteligentnú domácnosť","16.5","810194780400","","","","","",""
"4603","Premiumstore.sk","Minis Forum MINI-PC Minis Fórum NAS N5 Pro AMD Ryzen AI 9 HX Pro 370, 32GB+128GB O","","082853","https://www.premiumstore.sk/mini-pc-minis-forum-nas-n5-pro-amd-ryzen-ai-9-hx-pro-370--32gb-128gb-o/","TV, audio a video | Počítače a príslušenstvo | Mini PC","1514","4897118834339","","","","","",""
"4603","Premiumstore.sk","Petlibro Dockstream drinker","","078377","https://www.premiumstore.sk/petlibro-dockstream-drinker/","Heureka.sk | Chovateľské potreby | Pre hlodavce | Vybavenie klietok pre hlodavce | Napájačky","83","754932368034","754932368034","Petlibro Dockstream Napájačka vodná fontána 2,5 l","Chovateľské potreby | Pre psov | Misky a zásobníky pre psov","46.63","95.58","misky-a-zasobniky-pre-psov.heureka.sk/petlibro-dockstream-napajacka-vodna-fontana-2_5-l"
"4603","Premiumstore.sk","Sáčok TP-Link Tapo RVA200 jednorazový, prachový Tapo, poškodený obal","","PEN_65526108","https://www.premiumstore.sk/sacok-tp-link-tapo-rva200-jednorazovy--prachovy-tapo--poskodeny-obal/","Domáce spotrebiče | Malé spotrebiče | Vysávače | Robotické vysávače","14.5","","","","","","",""
"4603","Premiumstore.sk","Bose Pro BOSE AMM108 viacúčelový reproduktor","","BAS_BASYS-B_843160-0110","https://www.premiumstore.sk/bose-amm108-viacucelovy-reproduktor/","Heureka.sk | Elektronika | TV, audio, video | Reproduktory, soundbary | Reprosústavy a reproduktory","1900","","","","","","",""
"4603","Premiumstore.sk","EVEN REALITIES G2A AR okuliare (sivé)","","093226","https://www.premiumstore.sk/even-realities-g2a-ar-okuliare--sive/","Heureka.sk | Elektronika | TV, audio, video | Príslušenstvo k TV, audio-video | Príslušenstvo k TV | 3D okuliare","744.9","6977390120400","","","","","",""
"4603","Premiumstore.sk","Kamera IP vnitřní NEDIS WIFICI12CWT | Wi-Fi | 3MP","","AT_ATO-WIFICI12CWT","https://www.premiumstore.sk/kamera-ip-vnitrni-nedis-wifici12cwt-wi-fi-3mp/","Heureka.sk | Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","57.9","5412810455065","5412810455065","Nedis SmartLife vnútorná kamera WIFICI12CWT","Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","59","60.6","ip-kamery.heureka.sk/nedis-smartlife-vnutorna-kamera-wifici12cwt"
"4603","Premiumstore.sk","MONSK SAM-80WIFI Modul aktívneho reproduktora 2 x 40W/4 Ω, trieda D","","MON_SAM-80WIFI","https://www.premiumstore.sk/monsk-sam-80wifi-modul-aktivneho-reproduktora-2-x-40w-4---trieda-d/","Heureka.sk | Elektronika | TV, audio, video | Reproduktory, soundbary | Príslušenstvo k reproduktorom | Stojany a držiaky na reproduktory","189.5","8588008802168","","","","","",""
"4603","Premiumstore.sk","Monitor přídavný GoSmart EMOS IP880B 2WIRE domácího videotelefonu IP880A 2WIRE","","AT_ATO-3010040810","https://www.premiumstore.sk/monitor-pridavny-gosmart-emos-ip880b-2wire-domaciho-videotelefonu-ip880a-2wire/","Bezpečnosť a smart domácnosť | Smart domácnosť | Zvončeky","164.5","8592920157541","","","","","",""
