"importProduktId","shopName","CATEGORYTEXT","shopId","PRODUCT","PRODUCTNAME","ITEM_ID","URL","PRICE_VAT","EAN","suggestEan","suggestProductName","suggestCategoryTree","suggestPriceMin","suggestPriceMax","suggestProductUrl"
"2514059485","Premiumstore.sk","Heureka.sk | Elektronika | Počítače a notebooky | Tlačiarne a príslušenstvo | Náplne a farby do tlačiarní | Tlačové struny","4603","Filament Sunlu PP (prírodná biela)","","085251","https://www.premiumstore.sk/filament-sunlu-pp--prirodna-biela/","29.9","6933582322250","","","","","",""
"2514058982","Premiumstore.sk","Heureka.sk | Elektronika | Počítače a notebooky | Tlačiarne a príslušenstvo | Náplne a farby do tlačiarní | Tlačové struny","4603","Vysokorýchlostné čierne vlákno Sunlu PLA+","","085104","https://www.premiumstore.sk/vysokorychlostne-cierne-vlakno-sunlu-pla/","12.9","6933582314170","6933582314170","Sunlu High-Speed PLA Grey 1,75 mm/1000 g","Elektronika | Počítače a notebooky | Tlačiarne a príslušenstvo | Náplne a farby do tlačiarní | Tlačové struny","18.49","19.5","tlacove-struny.heureka.sk/sunlu-high-speed-pla-grey-1_75-mm-1000-g"
"2514056851","Premiumstore.sk","Heureka.sk | Chovateľské potreby | Pre psov | Misky a zásobníky pre psov","4603","Automatický dávkovač MOVA PF10 Pro","","074758","https://www.premiumstore.sk/automaticky-davkovac-mova-pf10-pro/","95.9","6977728940984","","","","","",""
"2514085352","Premiumstore.sk","Heureka.sk | Bývanie a doplnky | Bytové dekorácie | Hodiny a budíky | Budíky","4603","Budík analogový TechnoLine Modell XL silver","","AT_MS-MODELL_XL_SILVER","https://www.premiumstore.sk/budik-analogovy-technoline-modell-xl-silver/","17.5","4029665891019","","","","","",""
"2514083831","Premiumstore.sk","Heureka.sk | Šport a outdoor | Športy | Strelecké sporty | Lukostreľba | Luky a príslušenstvo | Náhradné diely a doplnky k lukom","4603","Abcom Napájecí zdroj pro AB PULSe 4K / AB PULSe 4K MINI / AB PULSe 4K MINI SE","","AT_NPZDRABPULSE","https://www.premiumstore.sk/napajeci-zdroj-pro-ab-pulse-4k-ab-pulse-4k-mini-ab-pulse-4k-mini-se/","20.5","","","","","","",""
"2523369607","Premiumstore.sk","Heureka.sk | Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","4603","CP PLUS CP-LNC-VC51L4-MD 5.0 Mpix venkovní antivandal dome IP kamera s IR přísvitem, kompresí H.265 a WDR","","AT_CPP-CP-LNC-VC51L4-MD","https://www.premiumstore.sk/cp-plus-cp-lnc-vc51l4-md-5-0-mpix-venkovni-antivandal-dome-ip-kamera-s-ir-prisvitem--kompresi-h-265-a-wdr/","235","4250593450140","","","","","",""
"2514058314","Premiumstore.sk","Heureka.sk | Elektronika | Inteligentná domácnosť | Wearables | Inteligentné prstene","4603","Smartring RingConn Gen 2 (veľkosť 13, zlatá)","","082703","https://www.premiumstore.sk/smartring-ringconn-gen-2--velkost-13--zlata/","223.9","6975377551100","","","","","",""
"2514084880","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Videoprehrávače a rekordéry | Multimediálne centrá","4603","MASCOM SUNNY Android TV 12 4K UHD Android TV multimediální přehrávač","","AT_MASUNNY","https://www.premiumstore.sk/mascom-sunny-android-tv-12-4k-uhd-android-tv-multimedialni-prehravac/","75.5","8594016909713","8594016909713","Mascom Sunny","Elektronika | TV, audio, video | Videoprehrávače a rekordéry | Multimediálne centrá","69.9","76.79","multimedialne-centra.heureka.sk/mascom-sunny"
"2514057182","Premiumstore.sk","Heureka.sk | Elektronika | Počítače a notebooky | Grafické tablety","4603","Kresliaca doska Huion L4S","","077190","https://www.premiumstore.sk/osvetlena-kresliaca-tabula-led-huion-l4s/","52.5","6930444800093","6930444800093","Kresliaca doska Huion L4S","Kancelária a papiernictvo | Papiernictvo | Výtvarné a kreatívne potreby  | Potreby na kreslenie | Kresliace tabuľky","56.67","74.5","kresliace-tabulky-a-sablony.heureka.sk/kresliaca-doska-huion-l4s"
"2521562454","Premiumstore.sk","Heureka.sk | Šport a outdoor | Športy | Ostatné športy | Bojové športy | Chrániče pre bojové umenia | Chrániče nôh pre bojové športy","4603","DBX Bushido DBD-E-1a sťahovadlo na kolená","","AT_ABL-30-B4-022","https://www.premiumstore.sk/chranice-loktu-dbx-bushido-dbx-eg-11-xl/","17","5904639191663","5904639191663","DBX Bushido DBD-E-1a sťahovadlo na kolená","Zdravie | Zdravotnícke potreby | Športová medicína | Zdravotné bandáže a ortézy","13.29","14.99","zdravotne-bandaze-a-ortezy.heureka.sk/dbx-bushido-dbd-e-1a-stahovadlo-na-kolena"
"2514063528","Premiumstore.sk","Heureka.sk | Dielňa, stavba, záhrada | Stavba | Elektromateriály | Domová komunikácia | Domové zvončeky","4603","Solight doplňkový gong ku zvončeku 1L202","","SOL_1L202G","https://www.premiumstore.sk/solight-doplnkovy-gong-ku-zvonceku-1l202/","4.3","8592718033750","8592718033750","Solight doplňkový gong ku zvončeku 1L202","Dielňa, stavba, záhrada | Stavba | Železiarstvo | Poštové schránky","4.13","4.13","postove-schranky.heureka.sk/solight-doplnkovy-gong-ku-zvonceku-1l202_20"
"2528142667","Premiumstore.sk","Heureka.sk | Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","4603","Kamera TP-Link Tapo C425 4MPx, vonkajší, IP, WiFi, prísvit, batéria","","PEN_52932319","https://www.premiumstore.sk/kamera-tp-link-tapo-c425-4mpx--vonkajsi--ip--wifi--prisvit--bateria/","130.5","4895252500899","4895252500899","TP-Link Tapo C425","Elektronika | Počítače a notebooky | Sieťové prvky | IP kamery","91.8","455.32","ip-kamery.heureka.sk/tp-link-tapo-c425"
"2514059767","Premiumstore.sk","Bezpečnosť a smart domácnosť | Osvetlenie | LED žiarovky","4603","Inteligentná žiarovka YEELIGHT D1 (1 ks)","","085853","https://www.premiumstore.sk/inteligentna-ziarovka-yeelight-d1--1-ks/","18.5","6924922267393","","","","","",""
"2514061907","Premiumstore.sk","Heureka.sk | Hračky | Detské autá a doprava | RC modely a príslušenstvo | Káble a konektory pre RC modely","4603","Monacor T-710GI RCA Panelové samice, pár","","MON_T-710GI","https://www.premiumstore.sk/monacor-t-710gi-rca-panelove-samice--par/","16.9","4007754088984","","","","","",""
